PSMB1	CD4	FYN	TYROBP	ANK1	LCP2	NGFR	SPTB	TAB2	IKBKG	DLG1	HSP90AA1	NRCAM	PSMD7	CSK	ITCH	RIPK2	TYK2	NFKB1	PTPN6	FGF1	FN1	STAT1	IFNA6	ZAP70	PLCG1	TLR4	SHC1	SYK	RPS27A	PTPN11	LCK	PTPN1	CD3E	PSME3	SLC4A1	SLC12A2	C1QBP	PLXNA1	SRC	HLA-DMB	NCK2	MAP3K14	FBL	RELA	ATN1	ACTG1	PASK	MAP3K3	PSMB9	NRP2	KIR2DL3	WDR5	CD44	GNB2L1	VHL	LIMA1	DDR2	EPS8L1
PSMB1	1.0000000	0.0085470	0.0598291	0.0256410	0.0256410	0.0085470	0.0341880	0.0256410	0.0512821	0.0512821	0.0256410	0.0683761	0.0341880	0.1282051	0.0341880	0.0170940	0.0512821	0.0512821	0.0256410	0.0854701	0.0427350	0.2136752	0.0512821	0.0427350	0.0170940	0.0170940	0.0256410	0.0769231	0.0170940	0.0598291	0.0854701	0.0170940	0.0256410	0.0170940	0.3076923	0.0170940	0.0427350	0.0170940	0.0341880	0.0512821	0.1965812	0.0085470	0.0085470	0.0512821	0.0341880	0.0341880	0.0598291	0.1282051	0.2649573	0.2051282	0.0341880	0.1196581	0.0256410	0.0341880	0.0256410	0.2222222	0.0085470	0.0085470	0.0085470
CD4	0.0115607	1.0000000	0.1156069	0.0173410	0.0231214	0.0578035	0.0115607	0.0520231	0.0231214	0.0231214	0.0173410	0.0520231	0.0462428	0.0173410	0.1098266	0.0173410	0.0115607	0.0462428	0.0173410	0.0809249	0.0520231	0.0231214	0.0231214	0.0346821	0.0520231	0.0462428	0.0057803	0.0346821	0.0289017	0.2080925	0.1502890	0.1213873	0.1156069	0.0346821	0.0173410	0.0693642	0.0346821	0.0982659	0.0578035	0.1734104	0.0346821	0.0346821	0.0231214	0.0231214	0.0231214	0.0346821	0.0462428	0.0346821	0.0462428	0.0289017	0.0520231	0.0231214	0.0173410	0.0173410	0.0809249	0.0057803	0.0173410	0.0462428	0.0057803
FYN	0.0165289	0.0330579	1.0000000	0.0165289	0.0330579	0.0247934	0.0082645	0.0495868	0.0082645	0.0991736	0.0082645	0.0330579	0.0082645	0.0082645	0.0661157	0.0743802	0.0165289	0.0413223	0.0165289	0.0330579	0.0247934	0.0495868	0.0495868	0.0247934	0.0082645	0.0165289	0.0165289	0.0247934	0.0578512	0.1735537	0.0826446	0.0909091	0.0495868	0.0826446	0.0247934	0.0413223	0.0165289	0.0165289	0.0247934	0.0909091	0.0495868	0.0661157	0.0578512	0.0330579	0.0495868	0.0661157	0.0165289	0.0495868	0.0247934	0.0247934	0.0082645	0.0165289	0.0330579	0.0413223	0.0330579	0.0247934	0.0413223	0.0082645	0.0413223
TYROBP	0.0164835	0.0274725	0.2197802	1.0000000	0.0549451	0.0219780	0.0439560	0.0494505	0.0219780	0.0549451	0.0109890	0.1538462	0.0164835	0.0439560	0.0054945	0.0329670	0.0109890	0.0274725	0.1043956	0.0549451	0.0274725	0.0439560	0.0659341	0.0164835	0.3241758	0.0219780	0.0769231	0.0549451	0.4065934	0.0824176	0.0494505	0.0769231	0.0329670	0.0549451	0.0164835	0.0219780	0.0164835	0.0109890	0.1373626	0.1098901	0.0109890	0.0824176	0.0164835	0.0109890	0.0219780	0.0879121	0.0604396	0.0219780	0.0164835	0.0109890	0.0219780	0.1263736	0.0659341	0.0989011	0.0164835	0.0054945	0.0164835	0.0164835	0.0109890
ANK1	0.0185185	0.0123457	0.1481481	0.0617284	1.0000000	0.0185185	0.0246914	0.1481481	0.0493827	0.0740741	0.0061728	0.1234568	0.0617284	0.0061728	0.0370370	0.0370370	0.0246914	0.0246914	0.1975309	0.0246914	0.0617284	0.0370370	0.0370370	0.0123457	0.0123457	0.0185185	0.0061728	0.0308642	0.0740741	0.0432099	0.1111111	0.1049383	0.0185185	0.0123457	0.0246914	0.0555556	0.0679012	0.0370370	0.0370370	0.1358025	0.0123457	0.0123457	0.0308642	0.0185185	0.0493827	0.0061728	0.2037037	0.0185185	0.0555556	0.0123457	0.0185185	0.0679012	0.0308642	0.3271605	0.0432099	0.0123457	0.0185185	0.0123457	0.0061728
LCP2	0.0135135	0.1148649	0.0810811	0.0202703	0.0202703	1.0000000	0.0337838	0.0337838	0.0405405	0.0878378	0.0270270	0.1351351	0.0405405	0.0135135	0.0405405	0.0405405	0.0337838	0.0067568	0.0337838	0.0878378	0.0202703	0.0135135	0.0540541	0.0067568	0.1013514	0.1013514	0.0270270	0.0202703	0.0337838	0.0608108	0.0337838	0.1283784	0.0135135	0.0337838	0.0135135	0.0067568	0.0270270	0.0675676	0.0540541	0.3040541	0.0540541	0.0675676	0.0675676	0.0810811	0.0945946	0.0337838	0.0135135	0.0270270	0.0472973	0.0337838	0.0472973	0.0135135	0.0135135	0.0405405	0.0067568	0.0067568	0.0067568	0.0067568	0.0067568
NGFR	0.0245399	0.0368098	0.0552147	0.0245399	0.0429448	0.0184049	1.0000000	0.0306748	0.0368098	0.0981595	0.0122699	0.0981595	0.0613497	0.0122699	0.0368098	0.0368098	0.1165644	0.0184049	0.0981595	0.2208589	0.0613497	0.0736196	0.0245399	0.0122699	0.0184049	0.0920245	0.0122699	0.1840491	0.0613497	0.2453988	0.0061350	0.0245399	0.0184049	0.0245399	0.0122699	0.0122699	0.0245399	0.0429448	0.0122699	0.0490798	0.0245399	0.0184049	0.0674847	0.0306748	0.1288344	0.0245399	0.0613497	0.0184049	0.0368098	0.0122699	0.0368098	0.0245399	0.0245399	0.0429448	0.0552147	0.0368098	0.0306748	0.0061350	0.0061350
SPTB	0.0177515	0.0532544	0.3372781	0.0177515	0.0473373	0.0532544	0.0295858	1.0000000	0.0236686	0.0591716	0.0059172	0.1065089	0.0295858	0.0177515	0.0828402	0.0118343	0.0236686	0.0177515	0.0118343	0.0532544	0.0118343	0.0355030	0.0236686	0.0355030	0.0236686	0.0355030	0.0414201	0.0355030	0.0710059	0.0355030	0.1065089	0.1065089	0.0118343	0.1183432	0.0236686	0.0177515	0.0532544	0.0118343	0.0118343	0.3846154	0.0828402	0.0236686	0.0295858	0.0236686	0.0355030	0.0118343	0.1952663	0.0177515	0.0473373	0.0473373	0.0059172	0.0236686	0.0118343	0.0355030	0.0118343	0.0236686	0.0177515	0.0059172	0.0591716
TAB2	0.0342857	0.1028571	0.0514286	0.0057143	0.0342857	0.0342857	0.0342857	0.0057143	1.0000000	0.1485714	0.0342857	0.2057143	0.0171429	0.0342857	0.0400000	0.0514286	0.0342857	0.0228571	0.0685714	0.0342857	0.0057143	0.0457143	0.0228571	0.0114286	0.0457143	0.0457143	0.0285714	0.0285714	0.0285714	0.2514286	0.0628571	0.0571429	0.0114286	0.0571429	0.1142857	0.0228571	0.0228571	0.1542857	0.0057143	0.1028571	0.0571429	0.0057143	0.0457143	0.0514286	0.0571429	0.0342857	0.1028571	0.0171429	0.1714286	0.0571429	0.0057143	0.0114286	0.0342857	0.0228571	0.0114286	0.0228571	0.0057143	0.0171429	0.0285714
IKBKG	0.0075758	0.0378788	0.0909091	0.0151515	0.0303030	0.0454545	0.0606061	0.0151515	0.0151515	1.0000000	0.0075758	0.1060606	0.0151515	0.0075758	0.0378788	0.0530303	0.0227273	0.0227273	0.0530303	0.0909091	0.0075758	0.0151515	0.0606061	0.0606061	0.0378788	0.0303030	0.0151515	0.0303030	0.0378788	0.1363636	0.0909091	0.0378788	0.0227273	0.1363636	0.0303030	0.0227273	0.0151515	0.0303030	0.0303030	0.3333333	0.0606061	0.0454545	0.0303030	0.0303030	0.0530303	0.0227273	0.0454545	0.0227273	0.0530303	0.0075758	0.0075758	0.0151515	0.0075758	0.0151515	0.0681818	0.0075758	0.0075758	0.0075758	0.0681818
