global_score	binding	functional	ptmod	regulation	textmining	fams
MUC4	4.05633062088695	1	0.560357559482015	0.61503656812079	0.880936493284148	1	DISEASE_RECESSIVE,ACTIVATOR_DOMINANT
TLR4	3.97142276184459	0.787802225891415	0.738204986898888	0.810238131045534	0.854788788228479	0.780388629780278	DISEASE_RECESSIVE,ACTIVATOR_DOMINANT
TTN	3.82358459281692	0.767297878933636	0.87714004175628	0.810238131045534	0.645614703314722	0.723293837766749	ACTIVATOR_DOMINANT
TLR10	3.72564957134936	0.62370319955337	0.91109632910797	0.810238131045534	0.72028478000113	0.66032713164136	ACTIVATOR_DOMINANT
DMBT1	3.64603770754166	1	0.560357559482015	0.61503656812079	0.470643579938853	1	ACTIVATOR_DOMINANT
TOPBP1	3.61572493526567	0.62370319955337	0.738204986898888	0.810238131045534	0.72028478000113	0.723293837766749	ACTIVATOR_DOMINANT
LILRB1	3.60125653099459	0.798390233809177	0.914575962015121	0.307518284060395	0.790825915086243	0.789946136023651	ACTIVATOR_DOMINANT
INS-IGF2	3.50957738343557	0.787802225891415	0.280178779741007	0.80641895979439	0.854788788228479	0.780388629780278	ACTIVATOR_DOMINANT
CARD8	3.48262629797623	0.62370319955337	0.734725353991736	0.810238131045534	0.72028478000113	0.593674833384457	ACTIVATOR_DOMINANT
LTF	3.46891052992877	0.9108925583139	0.280178779741007	0.712659348153198	0.645614703314722	0.919565140405943	ACTIVATOR_DOMINANT
MUC2	3.45270892796806	0.9108925583139	0.809444449799563	0.307518284060395	0.634907499770549	0.789946136023651	ACTIVATOR_DOMINANT
HSPG2	3.38173395732631	0.841136707149981	0.725456778482512	0.307518284060395	0.72028478000113	0.787337407632293	ACTIVATOR_DOMINANT
ATM	3.3323857623636	0.798390233809177	0.280178779741007	0.810238131045534	0.72028478000113	0.723293837766749	ACTIVATOR_DOMINANT
BMP2	3.32973095052359	0.767297878933636	0.280178779741007	0.671570476359045	0.823346407857608	0.787337407632293	ACTIVATOR_DOMINANT
MAP3K1	3.31224024820246	0.787802225891415	0.280178779741007	0.810238131045534	0.72028478000113	0.713736331523375	ACTIVATOR_DOMINANT
NCOR2	3.29190177148479	0.798390233809177	0.280178779741007	0.712659348153198	0.72028478000113	0.780388629780278	ACTIVATOR_DOMINANT
THBS1	3.28016406626623	0.787802225891415	0.280178779741007	0.712659348153198	0.709577576456958	0.789946136023651	ACTIVATOR_DOMINANT
IL2RB	3.2341481697783	0.64420754651115	0.280178779741007	0.810238131045534	0.709577576456958	0.789946136023651	ACTIVATOR_DOMINANT
FOXP2	3.22855367392069	0.62370319955337	0.280178779741007	0.810238131045534	0.793748454205388	0.72068510937539	ACTIVATOR_DOMINANT
PFKFB3	3.20533115698698	0.62370319955337	0.280178779741007	0.712659348153198	0.865495991772651	0.723293837766749	ACTIVATOR_DOMINANT
FOXM1	3.18933533432463	0.654795554428912	0.738204986898888	0.307518284060395	0.698870372912786	0.789946136023651	ACTIVATOR_DOMINANT
EDNRA	3.18354622336564	0.62370319955337	0.738204986898888	0.307518284060395	0.790825915086243	0.723293837766749	ACTIVATOR_DOMINANT
CUX1	3.17808387943916	0.654795554428912	0.280178779741007	0.810238131045534	0.709577576456958	0.723293837766749	ACTIVATOR_DOMINANT
CSN1S1	3.17121579831045	0.654795554428912	0.280178779741007	0.810238131045534	0.645614703314722	0.780388629780278	ACTIVATOR_DOMINANT
TRAF3	3.16852637319579	0.654795554428912	0.280178779741007	0.810238131045534	0.709577576456958	0.713736331523375	ACTIVATOR_DOMINANT
OBSCN	3.16074066851393	0.798390233809177	0.873660408849128	0.307518284060395	0.587496908410776	0.593674833384457	ACTIVATOR_DOMINANT
STXBP2	3.15871890279942	0.616005196220449	0.923844537524345	0.307518284060395	0.72028478000113	0.591066104993099	ACTIVATOR_DOMINANT
TAF1C	3.15508999971643	0.62370319955337	0.280178779741007	0.810238131045534	0.72028478000113	0.72068510937539	ACTIVATOR_DOMINANT
CALU	3.15237019993136	0.654795554428912	0.809444449799563	0.307518284060395	0.72028478000113	0.66032713164136	ACTIVATOR_DOMINANT
MCM10	3.14557022256315	0.62370319955337	0.91109632910797	0.307518284060395	0.709577576456958	0.593674833384457	ACTIVATOR_DOMINANT
ADAMTS4	3.13735881842258	0.696349055302131	0.750953195315263	0.307518284060395	0.65924444597804	0.723293837766749	ACTIVATOR_DOMINANT
FCAR	3.12070834316343	0.697542027769716	0.738204986898888	0.307518284060395	0.587496908410776	0.789946136023651	ACTIVATOR_DOMINANT
PML	3.11060588739058	0.787802225891415	0.280178779741007	0.671570476359045	0.72028478000113	0.650769625397986	ACTIVATOR_DOMINANT
RASA1	3.09459996717121	0.787802225891415	0.280178779741007	0.712659348153198	0.72028478000113	0.593674833384457	ACTIVATOR_DOMINANT
BCLAF1	3.09103499183889	0.626593204138211	0.649301316006857	0.307518284060395	0.72028478000113	0.787337407632293	ACTIVATOR_DOMINANT
ADCY10	3.08912626099189	0.647097551095991	0.280178779741007	0.712659348153198	0.65924444597804	0.789946136023651	ACTIVATOR_DOMINANT
