gene	no_zero_mean	no_zero_max	binding	functional	ptmod	regulation	textmining	type	repetition	distance	nfams	ndisease_genes	ngenes	sre_file
PSME2P2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PCDHB14	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
WDR87	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
FAM111A	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DONSON	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ALKBH2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PRKAR2A-AS1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MIR26A1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GPATCH2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ASH1L	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
INPP4B	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ATPAF2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CYB5R4	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CLUL1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DISP2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
