gene	nfc_score
RELA	1.3378
JUN	1.1886
MLL	1.134
EP300	1.1162
CREBBP	1.089
ASCC2	1.0769
BRCA1	1.0238
CCT8	0.9491
SMARCA4	0.9456
HKDC1	0.9408
CHKB-CPT1B	0.9408
BBS7	0.8862
SIRT2	0.8212
PIK3CD	0.8177
RPLP1	0.8177
MAP3K3	0.8022
PTPRJ	0.7843
HCFC1	0.7763
NR4A2	0.7525
CTNNB1	0.7158
PIK3CG	0.6955
C15orf39	0.6955
THAP3	0.68
ADC	0.4704
SLC4A5	0.4704
COL6A3	0.4704
HMGCR	0.4704
HLA-DRB5	0.4704
MUC12	0.4704
MELK	0.4704
LAMC3	0.4704
ERC1	0.4704
POU6F1	0.4704
OR3A2	0.4704
PPP6R2	0.4704
LOC286467	0.4704
KLHDC7A	0.4704
AKR7L	0.4704
LOC149620	0.4704
OPN3	0.4704
ELMOD3	0.4704
IFIH1	0.4704
XIRP2	0.4704
CLK1	0.4704
ACAD11	0.4704
STX18	0.4704
SPATA9	0.4704
CRISP1	0.4704
IMPG1	0.4704
GJB7	0.4704
SPAM1	0.4704
ANO1	0.4704
SFSWAP	0.4704
FLT3	0.4704
C13orf39	0.4704
C16orf46	0.4704
PKD1L2	0.4704
LRRC37A3	0.4704
MPND	0.4704
FBN3	0.4704
RAB4B-EGLN2	0.4704
ZNF549	0.4704
DOK5	0.4704
MYO18B	0.4704
RFPL3	0.4704
CNKSR1	0.4704
SCMH1;SCMH1	0.4704
PYHIN1	0.4704
CCDC150	0.4704
FILIP1L	0.4704
DNAJC13	0.4704
VARS	0.4704
NCR2	0.4704
RNF170	0.4704
C9orf84	0.4704
FLJ45983	0.4704
PPRC1	0.4704
CAPRIN2	0.4704
CSNK1A1L	0.4704
ALPK3	0.4704
MON1B	0.4704
USP48	0.4704
TEKT2	0.4704
CYP4A11	0.4704
C8A	0.4704
ELTD1	0.4704
LAMB3	0.4704
LRRN1	0.4704
SEMA3F	0.4704
B3GALNT1	0.4704
BTNL3	0.4704
MDN1	0.4704
SDK1	0.4704
COBL	0.4704
AQP7	0.4704
CLIC3	0.4704
NOXA1	0.4704
CPEB3	0.4704
IGF2AS,INS-IGF2	0.4704
LPXN	0.4704
FOXRED1	0.4704
ASPG	0.4704
CTSH	0.4704
ZNF576	0.4704
ALDH16A1	0.4704
PTPRT	0.4704
ZNFX1	0.4704
SCUBE1	0.4704
FBLN1	0.4704
CPT1B	0.4704
POF1B	0.4704
MST1P2	0.4704
ASAP3;ASAP3	0.4704
CCDC142	0.4704
DGKD	0.4704
SLC25A38	0.4704
MUC4	0.4704
GBA3	0.4704
PECI	0.4704
LTA	0.4704
WDR27	0.4704
ADAMTSL1	0.4704
OR1J2	0.4704
RIC3	0.4704
CTAGE11P	0.4704
SYNE2	0.4704
SPTB	0.4704
AZI1	0.4704
C18orf16	0.4704
CLEC4M	0.4704
RPL13AP5	0.4704
ZNF577	0.4704
RTEL1	0.4704
C22orf41	0.4704
