gene	nfc_score	family
TNFRSF1B	1.5296	MGP43
FANCA	1.5296	MGP43
BRCA1	1.5296	MGP43
RAD17	1.2394	MGP43
POLE	1.2394	MGP43
SLX4	1.2394	MGP43
NCOA3	1.2394	MGP43
BACH1	1.2394	MGP43
MYH9	1.2394	MGP43
MSH6	1.2394	MGP44
DNAJA3	1.2394	MGP44
SGSM2	1.1765	MGP43
FAM131C	1.0901	MGP43
RAD1	1.0901	MGP43
TSPYL1	1.0901	MGP43
STAT6	1.0901	MGP43
TFDP1	1.0901	MGP43
IL4R	1.0901	MGP43
ANKRD11	1.0901	MGP43
MPDU1	1.0901	MGP43
QRICH2	1.0901	MGP43
CHGB	1.0901	MGP43
FGFR3	1.0901	MGP44
FANCB	1.0901	MGP44
IKBKG	1.0592	inter
USP20	1.0592	inter
CALM1	1.0592	inter
SLC25A6	1.0592	inter
ATM	1.0592	inter
VIM	1.0592	inter
NFKB2	1.0592	inter
SPTAN1	1.0592	inter
RELA	1.0592	inter
MYC	1.0592	inter
TNFRSF1A	1.0592	inter
HSP90B1	1.0592	inter
FBXW11	1.0592	inter
UBA52	1.0592	inter
MSH2	1.0592	inter
STAMBP	1.0592	inter
KRT8	1.0592	inter
MAP3K3	1.0592	inter
DDB1	1.0592	inter
GRB2	1.0592	inter
RUVBL2	1.0592	inter
E2F6	1.0272	MGP43
MPP3	1.0272	MGP43
HOMER3	1.0272	MGP43
EPHA2	0.9491	MGP43
USP21	0.9491	MGP43
EPRS	0.9491	MGP43
COMMD1	0.9491	MGP43
CD28	0.9491	MGP43
PTH1R	0.9491	MGP43
MAGI1	0.9491	MGP43
NFKBIE	0.9491	MGP43
PABPC1	0.9491	MGP43
EEF1D	0.9491	MGP43
GPRIN2	0.9491	MGP43
KDM2A	0.9491	MGP43
ATP5B	0.9491	MGP43
SPTB	0.9491	MGP43
UACA	0.9491	MGP43
PPL	0.9491	MGP43
SHCBP1	0.9491	MGP43
TRPV1	0.9491	MGP43
RECQL5	0.9491	MGP43
KIAA1683	0.9491	MGP43
GP6	0.9491	MGP43
ZNF417	0.9491	MGP43
ACTR5	0.9491	MGP43
BCAS1	0.9491	MGP43
VAPB	0.9491	MGP43
TRIOBP	0.9491	MGP43
SUN2	0.9491	MGP43
POLDIP3	0.9491	MGP43
LARS	0.9491	MGP44
OTUB1	0.9491	MGP44
RNF125	0.9491	MGP44
PPP2R1A	0.9432	MGP43
ATL2	0.9408	MGP41_MGP43
LOXHD1	0.9408	MGP41_MGP43
MACF1	0.9408	MGP43_MGP44
OR2T8	0.9408	MGP43_MGP44
SDHAP1	0.9408	MGP43_MGP44
PDZD2	0.9408	MGP43_MGP44
HLA-H	0.9408	MGP43_MGP44
HLA-DQA1	0.9408	MGP43_MGP44
TMEM132A	0.9408	MGP43_MGP44
KIAA0556	0.9408	MGP43_MGP44
NCRNA00188	0.9408	MGP43_MGP44
ZNF578	0.9408	MGP43_MGP44
NLRP5	0.9408	MGP43_MGP44
ZNF543	0.9408	MGP43_MGP44
MYH7B	0.9408	MGP43_MGP44
CELSR3	0.9194	MGP43
TUT1	0.91	inter
UBE2D4	0.91	inter
UBE2D3	0.91	inter
UBE2D2	0.91	inter
UBE2N	0.91	inter
C19orf50	0.91	inter
ENSG00000156475	0.91	inter
UBE2D1	0.91	inter
PTN	0.91	inter
UBE2E2	0.91	inter
PPIB	0.91	inter
SFN	0.9041	inter
DNAJB11	0.8862	MGP43
CHFR	0.8862	MGP43
EXOC7	0.8862	MGP43
ZNRF4	0.8862	MGP43
PLXNB2	0.8862	MGP43
MORN2	0.8566	MGP43
FAT1	0.8566	MGP44
CCDC85B	0.8471	inter
CALML3	0.8471	inter
RERE	0.7998	MGP43
NBPF3	0.7998	MGP43
HSPG2	0.7998	MGP43
FLG	0.7998	MGP43
OTX1	0.7998	MGP43
THAP4	0.7998	MGP43
IL5RA	0.7998	MGP43
PLCD1	0.7998	MGP43
IP6K2	0.7998	MGP43
APBB2	0.7998	MGP43
YTHDC1	0.7998	MGP43
TCOF1	0.7998	MGP43
DAPK1	0.7998	MGP43
IKBKAP	0.7998	MGP43
AP2A2	0.7998	MGP43
PHC1	0.7998	MGP43
KRT79	0.7998	MGP43
TRPV4	0.7998	MGP43
CENPJ	0.7998	MGP43
F10	0.7998	MGP43
TRIP11	0.7998	MGP43
FAM82A2	0.7998	MGP43
TMEM62	0.7998	MGP43
SMAD6	0.7998	MGP43
TRAP1	0.7998	MGP43
CD2BP2	0.7998	MGP43
PHLPP2	0.7998	MGP43
FKBP10	0.7998	MGP43
PPP1R9B	0.7998	MGP43
TYK2	0.7998	MGP43
THAP8	0.7998	MGP43
SIRT2	0.7998	MGP43
PPP1R15A	0.7998	MGP43
KIR2DL1	0.7998	MGP43
MAVS	0.7998	MGP43
ASXL1	0.7998	MGP43
TOP3B	0.7998	MGP43
SH3BP1	0.7998	MGP43
SREBF2	0.7998	MGP43
MAPK11	0.7998	MGP43
CSF2RA	0.7998	MGP43
FATE1	0.7998	MGP43
APOB	0.7998	MGP44
ACTR8	0.7998	MGP44
MYO10	0.7998	MGP44
PLEC	0.7998	MGP44
DCAF4	0.7998	MGP44
ATMIN	0.7998	MGP44
CCDC158	0.794	MGP43
ULK1	0.7784	MGP43
MLX	0.7784	MGP43
EEF1A2	0.769	inter
JAK2	0.769	inter
ABL1	0.769	inter
SHC1	0.769	inter
YWHAG	0.769	inter
ENSG00000104320	0.769	inter
TP53	0.769	inter
CHUK	0.769	inter
HDAC3	0.769	inter
NFKBIA	0.769	inter
AKT1	0.769	inter
PIK3R1	0.769	inter
TRAF2	0.769	inter
MAP3K7	0.769	inter
APP	0.769	inter
PLSCR1	0.769	inter
EWSR1	0.769	inter
SLX1B	0.769	inter
PTPN6	0.769	inter
PPP1CB	0.769	inter
MARK3	0.769	inter
PPP1CC	0.769	inter
BAP1	0.769	inter
ARIH2	0.769	inter
GAPDH	0.769	inter
IKBKB	0.769	inter
MRE11A	0.769	inter
NFKB1	0.769	inter
H2AFX	0.769	inter
RELB	0.769	inter
YWHAZ	0.769	inter
CSE1L	0.769	inter
PLK1	0.769	inter
DYNLL2	0.769	inter
SLC1A5	0.769	inter
MSH3	0.769	inter
RB1	0.769	inter
MCC	0.769	inter
ATR	0.769	inter
PPP1CA	0.769	inter
REL	0.769	inter
CSTF2	0.769	inter
UBE2I	0.769	inter
WDR48	0.769	inter
USP1	0.769	inter
BTRC	0.769	inter
TTR	0.769	inter
SNAPIN	0.769	inter
RIPK3	0.769	inter
KRTAP4-12	0.769	inter
ENSG00000147507	0.769	inter
PIAS4	0.769	inter
RBL2	0.769	inter
IKBKE	0.769	inter
EP300	0.769	inter
CREBBP	0.769	inter
RAD50	0.769	inter
MAP3K14	0.769	inter
TRIP13	0.769	inter
MOBKL3	0.769	inter
PUF60	0.769	inter
PRKAB1	0.769	inter
ASCC2	0.769	inter
KPNB1	0.769	inter
ATXN2	0.769	inter
FANCD2	0.769	inter
ACACA	0.769	inter
UBE2W	0.7607	inter
UBE2U	0.7607	inter
FAM161A	0.7606	MGP43
PPM1F	0.7606	MGP43
FCHSD2	0.7476	inter
C1orf94	0.737	MGP43
MKNK1	0.737	MGP43
C2orf3	0.737	MGP43
CLASP2	0.737	MGP43
SAP30L	0.737	MGP43
CCM2	0.737	MGP43
ZNF679	0.737	MGP43
MCPH1	0.737	MGP43
PRRC2B	0.737	MGP43
KIAA1217	0.737	MGP43
TPI1	0.737	MGP43
SYNE2	0.737	MGP43
SOCS7	0.737	MGP43
ANKRD24	0.737	MGP43
DFNA5	0.737	MGP44
SKA3	0.737	MGP44
LMO7	0.737	MGP44
UTP6	0.737	MGP44
CD40LG	0.737	MGP44
PSPH	0.7156	MGP43
TONSL	0.7156	MGP43
WAC	0.7156	MGP43
GABARAPL2	0.7061	inter
MIB2	0.6741	MGP43
HAUS1	0.6741	MGP43
MRPL53	0.6527	MGP43
CD6	0.6527	MGP43
ENSG00000236759	0.6197	inter
MDFI	0.6197	inter
ATN1	0.6197	inter
RNF128	0.6197	inter
UBE2E1	0.6197	inter
HAP1	0.6197	inter
EPB41	0.6197	inter
RBPMS	0.6197	inter
C20orf94	0.6197	inter
FYN	0.6197	inter
ATXN1	0.6197	inter
UBE2E3	0.6197	inter
SORBS3	0.6197	inter
USP46	0.6197	inter
PDCD10	0.6197	inter
BMI1	0.6197	inter
EIF4A2	0.6197	inter
ENSG00000233348	0.6197	inter
USHBP1	0.6197	inter
EIF4G1	0.6197	inter
UNC119	0.6197	inter
FEZ1	0.6197	inter
E2F1	0.6197	inter
PSME3	0.6197	inter
DYNLL1	0.6197	inter
SETDB1	0.6197	inter
CHIC2	0.6197	inter
ANKRD28	0.6197	inter
MIA3	0.6196	MGP43
KRTAP9-2	0.6196	MGP43
KRT32	0.6196	MGP43
LAMA5	0.6196	MGP43
ASF1B	0.5569	inter
KRT15	0.5569	inter
GRN	0.5569	inter
OSBPL9	0.4705	inter
SLC9A3R1	0.4705	inter
SLC9A3R2	0.4705	inter
DCHS2	0.4704	MGP41
DCDC2	0.4704	MGP41
ASF1A	0.4704	MGP41
STEAP2	0.4704	MGP41
CNTNAP3	0.4704	MGP41
ACTL7A	0.4704	MGP41
XRRA1	0.4704	MGP41
ABCG4;ABCG4	0.4704	MGP41
C12orf5	0.4704	MGP41
UTP20;UTP20	0.4704	MGP41
ZNF664	0.4704	MGP41
LRP10	0.4704	MGP41
DPP8	0.4704	MGP41
NOX5	0.4704	MGP41
MYO19	0.4704	MGP41
PIGW	0.4704	MGP41
WASH7P	0.4704	MGP43
ATAD3C	0.4704	MGP43
LOC100128003	0.4704	MGP43
CCDC27	0.4704	MGP43
PLEKHG5	0.4704	MGP43
PRAMEF12	0.4704	MGP43
PRAMEF22	0.4704	MGP43
C1orf126	0.4704	MGP43
FHAD1	0.4704	MGP43
CLCNKB	0.4704	MGP43
MST1P2	0.4704	MGP43
ASAP3	0.4704	MGP43
SDC3	0.4704	MGP43
IQCC	0.4704	MGP43
GUCA2B	0.4704	MGP43
CYP4A22	0.4704	MGP43
EFCAB7	0.4704	MGP43
ZZZ3	0.4704	MGP43
MGC27382	0.4704	MGP43
IFI44	0.4704	MGP43
GBP6	0.4704	MGP43
LOC400759	0.4704	MGP43
TGFBR3	0.4704	MGP43
COL11A1	0.4704	MGP43
GSTM3	0.4704	MGP43
CYMP	0.4704	MGP43
LOC100129269	0.4704	MGP43
DENND2C	0.4704	MGP43
NBPF9	0.4704	MGP43
PDE4DIP	0.4704	MGP43
ANKRD35	0.4704	MGP43
GPR89A	0.4704	MGP43
CA14;CA14	0.4704	MGP43
RFX5	0.4704	MGP43
TCHH	0.4704	MGP43
LCE1F	0.4704	MGP43
CD5L	0.4704	MGP43
ADAMTS4	0.4704	MGP43
SDHC	0.4704	MGP43
LOC100506023	0.4704	MGP43
TNN	0.4704	MGP43
KIAA1614	0.4704	MGP43
RNASEL	0.4704	MGP43
ASPM	0.4704	MGP43
IGFN1	0.4704	MGP43
PTPN14	0.4704	MGP43
USH2A	0.4704	MGP43
ESRRG	0.4704	MGP43
DISP1	0.4704	MGP43
LOC100130093	0.4704	MGP43
TSNAX-DISC1	0.4704	MGP43
KIAA1383	0.4704	MGP43
PCNXL2	0.4704	MGP43
LOC100130331	0.4704	MGP43
C2orf46	0.4704	MGP43
SDC1	0.4704	MGP43
C2orf70	0.4704	MGP43
EMILIN1	0.4704	MGP43
ZNF513	0.4704	MGP43
FEZ2	0.4704	MGP43
DHX57	0.4704	MGP43
PRORSD1P	0.4704	MGP43
PEX13	0.4704	MGP43
PCYOX1	0.4704	MGP43
FBXO41	0.4704	MGP43
NAT8B	0.4704	MGP43
CAPG	0.4704	MGP43
PROM2	0.4704	MGP43
ASTL	0.4704	MGP43
NEURL3	0.4704	MGP43
ANKRD36	0.4704	MGP43
UGGT1	0.4704	MGP43
POTEF	0.4704	MGP43
LOC285103	0.4704	MGP43
TUBA3E	0.4704	MGP43
