gene	global_score	fams
ABL1	0	INTER
ABRA	0	INTER
ACHE	0	INTER
ACTB	0	INTER
ACTN2	0	INTER
ADAMTSL4	0	INTER
AGRN	0	INTER
AGXT	0	INTER
AIFM1	0	INTER
AKAP1	1.65959735938611	ACTIVATOR_DOMINANT
ALB	0	INTER
AMBP	0	INTER
ANK1	0	INTER
ANXA2	0	INTER
AP2B1	0	INTER
APBB1IP	0	INTER
APCS	0	INTER
APOA1	0	INTER
APOA5	0	INTER
APOBEC2	0	INTER
APOE	0	INTER
APOH	1.92001097299659	ACTIVATOR_DOMINANT
APP	0	INTER
ARHGAP9	0	INTER
ASAH1	1.88115795914001	ACTIVATOR_DOMINANT
ATF2	0	INTER
ATM	2.8252300354627	ACTIVATOR_DOMINANT
ATR	0	INTER
B2M	0	INTER
BRCA1	0	INTER
C8A	0	INTER
CALM1	0	INTER
CAPN2	0	INTER
CARD8	3.42255516766706	ACTIVATOR_DOMINANT
CASP1	0	INTER
CASP3	0	INTER
CBL	0	INTER
CCND2	0	INTER
CCND3	0	INTER
CCR1	0	INTER
CD14	0	INTER
CD274	2.65397252570726	ACTIVATOR_DOMINANT
CD36	0	INTER
CD40	0	INTER
CD44	0	INTER
CD48	0	INTER
CD4	0	INTER
CD53	0	INTER
CD80	0	INTER
CD86	0	INTER
CD8A	0	INTER
CDC42	0	INTER
CDC45	0	INTER
CDH20	0.929900922163307	ACTIVATOR_DOMINANT
CDK2	0	INTER
CDKN2A	0	INTER
CEBPB	0	INTER
CELSR1	1.77088074211411	ACTIVATOR_DOMINANT
CEP250	0	INTER
CEP70	0	INTER
CEP72	0	INTER
CEP76	0	INTER
CFTR	0	INTER
CGN	2.37773933689099	ACTIVATOR_DOMINANT
CHEK1	0	INTER
CHUK	0	INTER
CLEC4A	0	INTER
CLTA	0	INTER
CLTC	0	INTER
CMYA5	1.30521499408029	ACTIVATOR_DOMINANT
COL4A2	0	INTER
COX6A2	0	INTER
CREB1	0	INTER
CRP	0	INTER
CSF2	0	INTER
CSK	0	INTER
CSNK2A1	0	INTER
CSRP3	0	INTER
CST3	0	INTER
CTCF	0	INTER
CTGF	0	INTER
CTRL	0	INTER
CTSB	2.15024467097634	ACTIVATOR_DOMINANT
CUBN	1.85918670148484	ACTIVATOR_DOMINANT
DAAM1	0	INTER
DAB2	0	INTER
DDX20	0	INTER
DHRS2	0	INTER
DHRS7C	0	INTER
DHX9	0	INTER
DKC1	0	INTER
DMTF1	1.62821695252842	ACTIVATOR_DOMINANT
DNAJA3	0	INTER
DOCK2	0	INTER
DOCK8	0	INTER
DOK1	0	INTER
DOK7	1.54978268169006	ACTIVATOR_DOMINANT
DVL1	0	INTER
E2F1	0	INTER
EBF1	0	INTER
