Gene1	Gene 2	Weight	Network group	Networks
KCNB1	SPTA1	0.03485707938671112	Co-expression	[Arijs-Rutgeerts-2009, Rieger-Chu-2004]
TYROBP	LILRB1	0.02738354727625847	Co-expression	[Arijs-Rutgeerts-2009, Burczynski-Dorner-2006, Toedter-Baribaud-2011]
SLC13A3	KCNB1	0.021954644471406937	Co-expression	[Rieger-Chu-2004]
KCNB1	OCA2	0.020540980622172356	Co-expression	[Wu-Garvey-2007]
PFKFB4	PFKFB3	0.017929866909980774	Co-expression	[Bild-Nevins-2006 B]
INS	SPTA1	0.017033983021974564	Co-expression	[Rieger-Chu-2004]
ATM	CARD8	0.016996195539832115	Co-expression	[Bild-Nevins-2006 B]
TTN	TLR10	0.01673584245145321	Co-expression	[Noble-Diehl-2008]
RLN2	IGF1	0.01643960177898407	Co-expression	[Rieger-Chu-2004]
LILRB1	PFKFB3	0.015630798414349556	Co-expression	[Rieger-Chu-2004]
SMNDC1	MAP3K1	0.013103066943585873	Co-expression	[Rieger-Chu-2004]
TYROBP	TLR4	0.011896857060492039	Co-expression	[Noble-Diehl-2008]
IGF2	PFKFB3	0.010373956523835659	Co-expression	[Wu-Garvey-2007]
CARD6	RLN2	0.009874538518488407	Co-expression	[Noble-Diehl-2008]
MAP3K1	TLR10	0.009579356759786606	Co-expression	[Arijs-Rutgeerts-2009, Toedter-Baribaud-2011]
PFKFB3	CD274	0.008810008876025677	Co-expression	[Arijs-Rutgeerts-2009]
SPTBN5	SLC13A5	0.008565019816160202	Co-expression	[Arijs-Rutgeerts-2009]
IGF2	KCNB1	0.007863341830670834	Co-expression	[Rieger-Chu-2004]
DDX47	SMNDC1	0.007448195479810238	Co-expression	[Noble-Diehl-2008]
ATM	TLR10	0.007408519275486469	Co-expression	[Arijs-Rutgeerts-2009]
IGF1	IGF2	0.007181114051491022	Co-expression	[Bild-Nevins-2006 B]
SPTA1	LILRB1	0.0071728648617863655	Co-expression	[Wu-Garvey-2007]
IGF2	SLC13A2	0.006002649199217558	Co-expression	[Bild-Nevins-2006 B]
INS	INSL6	0.005069253500550985	Co-expression	[Burczynski-Dorner-2006]
RASA1	CARD8	0.004201010335236788	Co-expression	[Burczynski-Dorner-2006]
