# Organism: H. sapiens
# Application version: 3.0.7
# Database version: 21 December 2011 19:00:00
# Network generated on: 13 March 2012
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Gene1	Gene 2	Weight	Network group	Networks
PSAP	CTSB	1.9750595092773438	Co-expression	[Arijs-Rutgeerts-2009, Burczynski-Dorner-2006, Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Noble-Diehl-2008, Radtke-Downing-2009]
PSAP	TYROBP	0.8363682627677917	Co-expression	[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burczynski-Dorner-2006, Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Radtke-Downing-2009]
TYROBP	LILRB1	0.21906837821006775	Co-expression	[Arijs-Rutgeerts-2009, Burczynski-Dorner-2006, Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Radtke-Downing-2009]
TYROBP	LAIR1	0.2169637829065323	Co-expression	[Arijs-Rutgeerts-2009, Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Noble-Diehl-2008]
LILRB1	LAIR1	0.20748436450958252	Co-expression	[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burczynski-Dorner-2006, Hummel-Siebert-2006, Nakayama-Hasegawa-2007]
TLR1	TYROBP	0.1479870080947876	Co-expression	[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Noble-Diehl-2008]
TYROBP	CTSB	0.07834763824939728	Co-expression	[Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Noble-Diehl-2008, Radtke-Downing-2009]
LIPA	TYROBP	0.05402440205216408	Co-expression	[Gobble-Singer-2011, Hummel-Siebert-2006, Nakayama-Hasegawa-2007, Radtke-Downing-2009]
PSAP	LILRB1	0.04877345263957977	Co-expression	[Arijs-Rutgeerts-2009, Kang-Willman-2010, Radtke-Downing-2009]
TYROBP	TLR4	0.047587428241968155	Co-expression	[Gobble-Singer-2011, Nakayama-Hasegawa-2007, Noble-Diehl-2008]
