gene	global_score	binding	functional	ptmod	regulation	textmining	fams
TLR4	3.58557357834266	0.739963685347657	0.758311395971902	0.930042269843414	0.53035938851683	0.626896838662857	ACTIVATOR_DOMINANT
TLR10	3.46048840325732	0.569117163103522	0.758311395971902	0.930042269843414	0.559564735858194	0.643452838480288	ACTIVATOR_DOMINANT
CARD8	3.42255516766706	0.569117163103522	0.758311395971902	0.903777846937487	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
TTN	3.16099007884455	0.512811863975498	0.766584608681608	0.893917588460887	0.443125690223715	0.544550327502845	ACTIVATOR_DOMINANT
SMN1	3.0091275594303	0.764371084808007	0	0.939902528320014	0.661401107821991	0.643452838480288	Known_genes
SMN2	2.91022504845286	0.764371084808007	0	0.939902528320014	0.661401107821991	0.544550327502845	Known_genes
MAP3K1	2.90021625537317	0.720789809474767	0	0.903777846937487	0.632195760480627	0.643452838480288	ACTIVATOR_DOMINANT
OCA2	2.87408582108376	0.569117163103522	0	0.903777846937487	0.646798434151309	0.754392376891439	ACTIVATOR_DOMINANT
HSPG2	2.85406125639747	0.702832262092522	0.750038183262196	0	0.646798434151309	0.754392376891439	ACTIVATOR_DOMINANT
ATM	2.8252300354627	0.739963685347657	0	0.893917588460887	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
INS-IGF2	2.76634932099607	0.587074710485767	0	0.920182011366815	0.632195760480627	0.626896838662857	ACTIVATOR_DOMINANT
RASA1	2.67015526942415	0.606248586358657	0	0.930042269843414	0.58931408571923	0.544550327502845	ACTIVATOR_DOMINANT
PFKFB3	2.65438351321856	0.569117163103522	0	0.893917588460887	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
CD274	2.65397252570726	0.630655985819007	0	0.920182011366815	0.443125690223715	0.660008838297719	ACTIVATOR_DOMINANT
PSMB5	2.64416697719039	0.683658386219632	0.750038183262196	0	0.661401107821991	0.549069299886567	ACTIVATOR_DOMINANT
LILRB1	2.60964588635906	0.630655985819007	0.7886216737255	0	0.53035938851683	0.660008838297719	ACTIVATOR_DOMINANT
SPTA1	2.55317222127000	0.606248586358657	0	0.930042269843414	0.472331037565079	0.544550327502845	ACTIVATOR_DOMINANT
CROCC	2.52045548748444	0.518045387562957	0	0.903777846937487	0.646798434151309	0.451833818832683	ACTIVATOR_DOMINANT
