gene	global_score	binding	functional	ptmod	regulation	textmining	fams
TLR4	3.15196528518173	0.739963685347657	0.443080029616074	0.811665343038307	0.53035938851683	0.626896838662857	ACTIVATOR_DOMINANT
TLR10	3.02688011009639	0.569117163103522	0.443080029616074	0.811665343038307	0.559564735858194	0.643452838480288	ACTIVATOR_DOMINANT
SMN2	2.99863171799015	0.764371084808007	0	0.912850687062428	0.661401107821991	0.660008838297719	Known_genes
CARD8	2.99228984263642	0.569117163103522	0.443080029616074	0.788743888262674	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
TOPBP1	2.98745581884104	0.569117163103522	0.438246005820693	0.788743888262674	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
SMN1	2.98207571817271	0.764371084808007	0	0.912850687062428	0.661401107821991	0.643452838480288	Known_genes
LTF	2.93695931282693	0.829153477755865	0	0.780138655642223	0.443125690223715	0.884541489205127	ACTIVATOR_DOMINANT
PML	2.8915356822754	0.739963685347657	0	0.788743888262674	0.603916759389912	0.758911349275161	ACTIVATOR_DOMINANT
NCOR2	2.85175486094589	0.759137561220547	0	0.788743888262674	0.544962062187512	0.758911349275161	ACTIVATOR_DOMINANT
MAP3K1	2.79978497036904	0.720789809474767	0	0.788743888262674	0.646798434151309	0.643452838480288	ACTIVATOR_DOMINANT
HTT	2.79798324159484	0.715556285887307	0	0.780138655642223	0.646798434151309	0.655489865913996	ACTIVATOR_DOMINANT
IL6R	2.78074203806204	0.606248586358657	0	0.811665343038307	0.603916759389912	0.758911349275161	ACTIVATOR_DOMINANT
OCA2	2.75905186240894	0.569117163103522	0	0.788743888262674	0.646798434151309	0.754392376891439	ACTIVATOR_DOMINANT
KL	2.72902510900838	0.606248586358657	0	0.811665343038307	0.443125690223715	0.867985489387696	ACTIVATOR_DOMINANT
TTN	2.72854059075574	0.512811863975498	0.447914053411455	0.780138655642223	0.443125690223715	0.544550327502845	ACTIVATOR_DOMINANT
