ensg	id	name
ENSG00000000971	DOID_10871	age related macular degeneration
ENSG00000000971	DOID_2569	retinal drusen
ENSG00000001626	DOID_1485	cystic fibrosis
ENSG00000001626	DOID_9563	bronchiectasis
ENSG00000002822	DOID_10283	prostate cancer
ENSG00000003393	DOID_332	amyotrophic lateral sclerosis
ENSG00000003400	DOID_10534	stomach cancer
ENSG00000003400	DOID_6688	autoimmune lymphoproliferative syndrome
ENSG00000004939	DOID_2373	hereditary elliptocytosis
ENSG00000004961	DOID_10629	microphthalmia
ENSG00000005339	DOID_1933	Rubinstein-Taybi syndrome
ENSG00000005381	DOID_10652	Alzheimer's disease
ENSG00000005471	DOID_1949	cholecystitis
ENSG00000005961	DOID_2219	Glanzmann's thrombasthenia
ENSG00000006071	DOID_13317	hyperinsulinemic hypoglycemia
ENSG00000006071	DOID_9352	type 2 diabetes mellitus
ENSG00000006468	DOID_3369	peripheral primitive neuroectodermal tumor
ENSG00000006606	DOID_13922	eosinophilic esophagitis
ENSG00000006695	DOID_3652	Leigh disease
ENSG00000006695	DOID_3762	cytochrome-c oxidase deficiency
ENSG00000006704	DOID_1928	Williams-Beuren syndrome
ENSG00000006704	DOID_1929	supravalvular aortic stenosis
ENSG00000006744	DOID_10283	prostate cancer
ENSG00000007062	DOID_10584	retinitis pigmentosa
ENSG00000007171	DOID_10825	essential hypertension
ENSG00000007312	DOID_2583	agammaglobulinemia
ENSG00000007314	DOID_14451	hyperkalemic periodic paralysis
ENSG00000007314	DOID_14452	hypokalemic periodic paralysis
ENSG00000007372	DOID_11975	coloboma of optic nerve
ENSG00000007372	DOID_12270	coloboma
ENSG00000007372	DOID_12271	aniridia
ENSG00000007908	DOID_10825	essential hypertension
ENSG00000007908	DOID_2986	IgA glomerulonephritis
ENSG00000008086	DOID_1206	Rett syndrome
ENSG00000008086	DOID_1932	Angelman syndrome
ENSG00000008086	DOID_2481	infantile epileptic encephalopathy
ENSG00000008226	DOID_3748	esophagus squamous cell carcinoma
ENSG00000008226	DOID_3905	lung carcinoma
ENSG00000008311	DOID_9274	hyperlysinemia
ENSG00000008710	DOID_898	polycystic kidney disease
ENSG00000009709	DOID_4051	alveolar rhabdomyosarcoma
ENSG00000009830	DOID_11724	limb-girdle muscular dystrophy
ENSG00000009950	DOID_1928	Williams-Beuren syndrome
ENSG00000009950	DOID_1929	supravalvular aortic stenosis
ENSG00000009954	DOID_1928	Williams-Beuren syndrome
ENSG00000009954	DOID_1929	supravalvular aortic stenosis
ENSG00000010671	DOID_14179	Bruton-type agammaglobulinemia
ENSG00000010704	DOID_10652	Alzheimer's disease
ENSG00000010704	DOID_2352	hemochromatosis
ENSG00000010704	DOID_3132	porphyria cutanea tarda
ENSG00000010704	DOID_4346	variegate porphyria
ENSG00000011143	DOID_1935	Bardet-Biedl syndrome
ENSG00000011198	DOID_1699	congenital ichthyosiform erythroderma
ENSG00000012048	DOID_1612	breast cancer
ENSG00000012048	DOID_2394	ovarian cancer
ENSG00000012048	DOID_5683	hereditary breast ovarian cancer
ENSG00000013619	DOID_10892	hypospadias
ENSG00000013810	DOID_11054	urinary bladder cancer
ENSG00000014919	DOID_3652	Leigh disease
ENSG00000014919	DOID_3762	cytochrome-c oxidase deficiency
ENSG00000015285	DOID_9169	Wiskott-Aldrich syndrome
ENSG00000015532	DOID_2738	pseudoxanthoma elasticum
ENSG00000018510	DOID_2580	rhizomelic chondrodysplasia punctata
ENSG00000019549	DOID_3263	piebaldism
ENSG00000019549	DOID_9258	Waardenburg's syndrome
ENSG00000021488	DOID_9266	cystinuria
ENSG00000021574	DOID_2476	hereditary spastic paraplegia
ENSG00000021826	DOID_13042	persistent fetal circulation syndrome
ENSG00000021826	DOID_9280	carbamoyl phosphate synthetase I deficiency disease
ENSG00000022267	DOID_11726	Emery-Dreifuss muscular dystrophy
ENSG00000022355	DOID_4890	juvenile myoclonic epilepsy
ENSG00000022556	DOID_3590	gestational trophoblastic neoplasm
ENSG00000023228	DOID_3652	Leigh disease
ENSG00000023287	DOID_1612	breast cancer
ENSG00000023839	DOID_12308	Dubin-Johnson syndrome
ENSG00000026103	DOID_6688	autoimmune lymphoproliferative syndrome
ENSG00000027075	DOID_3455	cerebrovascular accident
ENSG00000031544	DOID_10584	retinitis pigmentosa
ENSG00000032444	DOID_2476	hereditary spastic paraplegia
ENSG00000034693	DOID_10582	Refsum disease
ENSG00000034693	DOID_10588	adrenoleukodystrophy
ENSG00000034693	DOID_905	Zellweger syndrome
ENSG00000034971	DOID_1067	open-angle glaucoma
ENSG00000034971	DOID_11211	buphthalmos
ENSG00000035403	DOID_11986	familial hypertrophic cardiomyopathy
ENSG00000035403	DOID_12930	dilated cardiomyopathy
ENSG00000036473	DOID_9271	ornithine carbamoyltransferase deficiency
ENSG00000038295	DOID_1882	atrial heart septal defect
ENSG00000038945	DOID_10283	prostate cancer
ENSG00000039068	DOID_10283	prostate cancer
ENSG00000039068	DOID_10534	stomach cancer
ENSG00000039068	DOID_1612	breast cancer
ENSG00000039068	DOID_2394	ovarian cancer
ENSG00000039068	DOID_2871	endometrial carcinoma
ENSG00000039139	DOID_9562	primary ciliary dyskinesia
ENSG00000039650	DOID_2481	infantile epileptic encephalopathy
ENSG00000040531	DOID_1064	cystinosis
ENSG00000040608	DOID_5419	schizophrenia
ENSG00000042088	DOID_1441	spinocerebellar ataxia
ENSG00000042317	DOID_10584	retinitis pigmentosa
ENSG00000042317	DOID_14791	Leber congenital amaurosis
ENSG00000042781	DOID_10584	retinitis pigmentosa
ENSG00000043355	DOID_4621	holoprosencephaly
ENSG00000044524	DOID_1520	colon carcinoma
ENSG00000044524	DOID_9256	colorectal cancer
ENSG00000046604	DOID_12930	dilated cardiomyopathy
ENSG00000046651	DOID_4501	orofaciodigital syndrome
ENSG00000047410	DOID_3969	papillary thyroid carcinoma
ENSG00000047579	DOID_3753	Hermansky-Pudlak syndrome
ENSG00000047579	DOID_5419	schizophrenia
ENSG00000049167	DOID_2962	Cockayne syndrome
