gene	disease
A2M	Alzheimer's disease
AASS	hyperlysinemia
ABCA1	Tangier disease
ABCA12	congenital ichthyosiform erythroderma
ABCA4	age related macular degeneration
ABCA4	retinitis pigmentosa
ABCB4	cholecystitis
ABCC2	Dubin-Johnson syndrome
ABCC6	pseudoxanthoma elasticum
ABCC8	hyperinsulinemic hypoglycemia
ABCC8	type 2 diabetes mellitus
ABCC9	dilated cardiomyopathy
ABCD1	adrenoleukodystrophy
ABHD5	congenital ichthyosiform erythroderma
ABL1	chronic myeloid leukemia
ABR	medulloblastoma
AC217779.2	Parkinson's disease
AC217779.2	Pick's disease
AC217779.2	frontotemporal dementia
AC217779.2	progressive supranuclear palsy
ACAN	osteochondritis dissecans
ACAT1	beta-ketothiolase deficiency
ACE	Alzheimer's disease
ACE	cerebrovascular accident
ACTA2	thoracic aortic aneurysm
ACTC1	atrial heart septal defect
ACTC1	dilated cardiomyopathy
ACTC1	familial hypertrophic cardiomyopathy
ACTC1	hypertrophic cardiomyopathy
ACTN2	dilated cardiomyopathy
ACTN4	focal segmental glomerulosclerosis
ACVR1	fibrodysplasia ossificans progressiva
ACVRL1	hereditary hemorrhagic telangiectasia
ADCK3	spinocerebellar ataxia
ADD1	essential hypertension
ADH1C	Parkinson's disease
ADIPOQ	type 2 diabetes mellitus
ADRB2	obesity
ADRB3	obesity
AFG3L2	spinocerebellar ataxia
AGGF1	Klippel-Trenaunay syndrome
AGL	glycogen storage disease III
AGPS	rhizomelic chondrodysplasia punctata
AGRP	obesity
AGT	essential hypertension
AGTR1	essential hypertension
AGXT	primary hyperoxaluria
AIP	ACTH-secreting pituitary adenoma
AIP	growth hormone secreting pituitary adenoma
AIP	prolactinoma
AIPL1	Leber congenital amaurosis
AKAP9	long QT syndrome
AKT1	Proteus syndrome
AKT1	breast cancer
AKT1	colon carcinoma
AKT1	colorectal cancer
AKT1	hereditary breast ovarian cancer
AKT1	ovarian cancer
AKT1	schizophrenia
AKT2	type 2 diabetes mellitus
AL731683.2	celiac disease
ALDH3A2	Sjogren-Larsson syndrome
ALG10	long QT syndrome
ALG10B	long QT syndrome
ALK	neuroblastoma
ALOX12B	congenital ichthyosiform erythroderma
ALOX5AP	cerebrovascular accident
ALOXE3	congenital ichthyosiform erythroderma
ALPL	hypophosphatasia
ALS2	amyotrophic lateral sclerosis
AMELX	amelogenesis imperfecta
AMT	glycine encephalopathy
ANG	amyotrophic lateral sclerosis
ANKRD1	scimitar syndrome
ANKRD11	KBG syndrome
ANO5	distal muscular dystrophy
ANO5	limb-girdle muscular dystrophy
AP3B1	Hermansky-Pudlak syndrome
APBB2	Alzheimer's disease
APC	colon carcinoma
APC	colorectal cancer
APC	hepatocellular carcinoma
APC	medulloblastoma
APC	stomach cancer
APOA1	Tangier disease
APOA1	multiple myeloma
APOA5	hyperlipoproteinemia type V
APOB	abetalipoproteinemia
APOE	Alzheimer's disease
APOE	age related macular degeneration
APOE	sea-blue histiocyte syndrome
APOL1	focal segmental glomerulosclerosis
APOL1	schizophrenia
APOL2	schizophrenia
APOL4	schizophrenia
APP	Alzheimer's disease
APP	cerebral amyloid angiopathy
AR	androgen insensitivity syndrome
AR	hypospadias
AR	prostate cancer
ARG1	hyperargininemia
ARHGEF12	acute myeloid leukemia
ARHGEF9	infantile epileptic encephalopathy
ARL6	Bardet-Biedl syndrome
ARL6	retinitis pigmentosa
ARSA	metachromatic leukodystrophy
ARSB	mucopolysaccharidosis VI
ASL	argininosuccinic aciduria
ASPA	Canavan disease
ASPM	microcephaly
ASPSCR1	alveolar soft part sarcoma
ASS1	citrullinemia
ATL1	hereditary spastic paraplegia
ATM	ataxia telangiectasia
ATM	breast cancer
ATP10A	Angelman syndrome
ATP1B1	essential hypertension
ATP2A2	keratosis follicularis
ATP7A	Menkes disease
ATP7B	Wilson disease
ATRX	alpha thalassemia
ATXN1	olivopontocerebellar atrophy
ATXN1	spinocerebellar ataxia
ATXN10	spinocerebellar ataxia
ATXN2	olivopontocerebellar atrophy
ATXN3	Machado-Joseph disease
ATXN7	olivopontocerebellar atrophy
AURKA	colon carcinoma
AURKA	colorectal cancer
AVP	neurohypophyseal diabetes insipidus
AXIN1	hepatocellular carcinoma
AXIN2	colon carcinoma
AXIN2	colorectal cancer
BANK1	systemic lupus erythematosus
BAP1	malignant mesothelioma
BARD1	breast cancer
BAZ1B	Williams-Beuren syndrome
BAZ1B	supravalvular aortic stenosis
BBS1	Bardet-Biedl syndrome
BBS10	Bardet-Biedl syndrome
BBS12	Bardet-Biedl syndrome
BBS2	Bardet-Biedl syndrome
BBS4	Bardet-Biedl syndrome
BBS5	Bardet-Biedl syndrome
BBS7	Bardet-Biedl syndrome
BBS9	Bardet-Biedl syndrome
BCKDHA	maple syrup urine disease
BCKDHB	maple syrup urine disease
BCL10	colon carcinoma
BCL10	colorectal cancer
BCL10	malignant mesothelioma
BCL10	seminoma
BCL10	testicular cancer
BCL10	testicular germ cell cancer
BCL7B	Williams-Beuren syndrome
BCL7B	supravalvular aortic stenosis
BCOR	microphthalmia
BCR	chronic myeloid leukemia
BCS1L	Leigh disease
BEAN1	spinocerebellar ataxia
BEST1	retinitis pigmentosa
BLM	bloom syndrome
BLMH	Alzheimer's disease
BLNK	agammaglobulinemia
BLOC1S3	Hermansky-Pudlak syndrome
BMP15	premature ovarian failure
BMP2	hemochromatosis
BMP4	microphthalmia
BMPR1A	Cowden disease
BMPR1A	Cowden syndrome
BMPR2	primary pulmonary hypertension
BMPR2	pulmonary venoocclusive disease
BRAF	LEOPARD syndrome
BRAF	Noonan syndrome
BRAF	colon carcinoma
BRAF	colorectal cancer
BRAF	lung carcinoma
BRCA1	breast cancer
BRCA1	hereditary breast ovarian cancer
BRCA1	ovarian cancer
BRCA2	Fanconi's anemia
BRCA2	breast cancer
BRCA2	hereditary breast ovarian cancer
BRCA2	malignant glioma
BRCA2	medulloblastoma
BRCA2	nephroblastoma
BRCA2	pancreatic carcinoma
BRCA2	prostate cancer
BRIP1	Fanconi's anemia
BRIP1	breast cancer
BSCL2	hereditary spastic paraplegia
BSND	Bartter disease
BTD	biotinidase deficiency
BTK	Bruton-type agammaglobulinemia
BUB1B	colon carcinoma
BUB1B	colorectal cancer
C2	age related macular degeneration
C2orf71	retinitis pigmentosa
C3	age related macular degeneration
C4A	systemic lupus erythematosus
C4B	systemic lupus erythematosus
C5	complement component 5 deficiency
C8orf38	Leigh disease
CA4	retinitis pigmentosa
CACNA1A	episodic ataxia
CACNA1A	spinocerebellar ataxia
CACNA1C	long QT syndrome
CACNA1S	hypokalemic periodic paralysis
CACNA1S	malignant hyperthermia
CACNB4	juvenile myoclonic epilepsy
CAPN3	limb-girdle muscular dystrophy
CARD9	chronic mucocutaneous candidiasis
CARTPT	obesity
CASK	FG syndrome
CASP10	autoimmune lymphoproliferative syndrome
CASP10	stomach cancer
CASP8	autoimmune lymphoproliferative syndrome
CASP8	breast cancer
CASP8	hepatocellular carcinoma
CASP8	lung carcinoma
CAV3	familial hypertrophic cardiomyopathy
CAV3	hypertrophic cardiomyopathy
CAV3	limb-girdle muscular dystrophy
CAV3	long QT syndrome
CAV3	sudden infant death syndrome
CBFB	acute myeloid leukemia
CBX2	46 XY gonadal dysgenesis
CCDC28B	Bardet-Biedl syndrome
CCDC6	papillary thyroid carcinoma
CCL26	eosinophilic esophagitis
CCND1	colon carcinoma
CCND1	colorectal cancer
CCND1	multiple myeloma
CCND1	von Hippel-Lindau disease
CD19	common variable immunodeficiency
CD244	rheumatoid arthritis
CD2AP	focal segmental glomerulosclerosis
CD79A	agammaglobulinemia
CD79B	agammaglobulinemia
CD81	common variable immunodeficiency
CD82	prostate cancer
CDAN1	congenital dyserythropoietic anemia
CDC73	parathyroid carcinoma
CDH1	breast cancer
CDH1	endometrial carcinoma
CDH1	ovarian cancer
CDH1	prostate cancer
CDH1	stomach cancer
CDK5RAP2	microcephaly
CDKAL1	type 2 diabetes mellitus
CDKL5	Angelman syndrome
CDKL5	Rett syndrome
CDKL5	infantile epileptic encephalopathy
CDKN1C	Beckwith-Wiedemann syndrome
CDKN2A	Li-Fraumeni syndrome
CDKN2A	familial atypical multiple mole-melanoma
CDKN3	hepatocellular carcinoma
CEBPA	acute myeloid leukemia
CENPJ	microcephaly
CEP152	microcephaly
CEP290	Bardet-Biedl syndrome
CEP290	Leber congenital amaurosis
CERKL	retinitis pigmentosa
CFB	age related macular degeneration
CFC1	double outlet right ventricle
CFH	age related macular degeneration
CFH	retinal drusen
CFHR1	age related macular degeneration
CFHR3	age related macular degeneration
CFTR	bronchiectasis
CFTR	cystic fibrosis
CHD7	Kallmann syndrome
CHEK2	Li-Fraumeni syndrome
CHEK2	breast cancer
CHEK2	osteosarcoma
CHEK2	prostate cancer
CHI3L1	schizophrenia
CHIC2	acute myeloid leukemia
CHM	choroideremia
CHN1	Duane retraction syndrome
CHRM2	endogenous depression
CHRNA1	myasthenia gravis
CHRNE	myasthenia gravis
CIITA	MHC class II deficiency
CIITA	multiple sclerosis
CIITA	rheumatoid arthritis
CISD2	Wolfram syndrome
CITED2	tetralogy of Fallot
CLCN1	Thomsen disease
CLCN2	juvenile myoclonic epilepsy
CLCNKA	Bartter disease
CLCNKB	Bartter disease
CLEC7A	chronic mucocutaneous candidiasis
CLIP2	Williams-Beuren syndrome
CLIP2	supravalvular aortic stenosis
CNBP	myotonic dystrophy
CNGA1	retinitis pigmentosa
CNGA3	achromatopsia
CNGB1	retinitis pigmentosa
CNGB3	achromatopsia
CNTNAP2	autistic disorder
COA5	cytochrome-c oxidase deficiency
COCH	Meniere's disease
COL1A1	Caffey disease
COL1A1	osteogenesis imperfecta
COL1A1	type I Ehlers-Danlos syndrome
COL1A2	osteogenesis imperfecta
COL2A1	Legg-Calve-Perthes Disease
COL2A1	spondyloepiphyseal dysplasia congenita
COL3A1	abdominal aortic aneurysm
COL3A1	autosomal dominant type IV Ehlers-Danlos syndrome
COL3A1	type III Ehlers-Danlos syndrome
COL4A3	Alport syndrome
COL4A4	Alport syndrome
COL4A5	Alport syndrome
COL5A1	type I Ehlers-Danlos syndrome
COL5A2	type I Ehlers-Danlos syndrome
COL8A2	Fuchs' endothelial dystrophy
COMT	schizophrenia
COX10	Leigh disease
COX10	cytochrome-c oxidase deficiency
COX15	Leigh disease
COX15	cytochrome-c oxidase deficiency
COX6B1	cytochrome-c oxidase deficiency
CPOX	hereditary coproporphyria
CPS1	carbamoyl phosphate synthetase I deficiency disease
CPS1	persistent fetal circulation syndrome
CRB1	retinitis pigmentosa
CREBBP	Rubinstein-Taybi syndrome
CRTAP	osteogenesis imperfecta
CRX	retinitis pigmentosa
CSRP3	dilated cardiomyopathy
CSRP3	familial hypertrophic cardiomyopathy
CST3	age related macular degeneration
CSTB	Unverricht-Lundborg syndrome
CTLA4	Graves' disease
CTLA4	systemic lupus erythematosus
CTLA4	thyrotoxicosis
CTNNB1	colon carcinoma
CTNNB1	colorectal cancer
CTNNB1	hepatocellular carcinoma
CTNNB1	malignant mesothelioma
CTNNB1	medulloblastoma
CTNNB1	ovarian cancer
CTNNB1	pilomatrixoma
CTNNB1	pleomorphic adenoma
CTNND2	Cri-Du-Chat syndrome
CTNS	cystinosis
CTSC	Papillon-Lefevre disease
CTSC	aggressive periodontitis
CX3CR1	age related macular degeneration
CYBA	chronic granulomatous disease
CYBB	chronic granulomatous disease
CYFIP1	Angelman syndrome
CYP11B1	glucocorticoid-remediable aldosteronism
CYP11B2	glucocorticoid-remediable aldosteronism
CYP1B1	buphthalmos
CYP1B1	open-angle glaucoma
CYP1B1	primary open anle glaucoma
CYP27A1	cerebrotendinous xanthomatosis
CYP2A6	lung carcinoma
CYP3A5	essential hypertension
CYP7B1	hereditary spastic paraplegia
DAO	schizophrenia
DAOA	schizophrenia
DAZ1	azoospermia
DAZ2	azoospermia
DAZ4	azoospermia
DBH	Parkinson's disease
DBT	maple syrup urine disease
DCTN1	amyotrophic lateral sclerosis
DDIT3	myxoid liposarcoma
DEC1	esophagus squamous cell carcinoma
DEFB4A	ulcerative colitis
DEFB4B	ulcerative colitis
DES	dilated cardiomyopathy
DHCR7	Smith-Lemli-Opitz syndrome
DHH	46 XY gonadal dysgenesis
DIAPH2	premature ovarian failure
DICER1	pleuropulmonary blastoma
DISC1	schizophrenia
DLD	Leigh disease
DLD	maple syrup urine disease
DLEC1	esophagus squamous cell carcinoma
DLEC1	lung carcinoma
DLG5	ulcerative colitis
DLX3	amelogenesis imperfecta
DMBT1	malignant glioma
DMBT1	medulloblastoma
DMD	Becker muscular dystrophy
DMD	Duchenne muscular dystrophy
DMD	dilated cardiomyopathy
DMPK	myotonic dystrophy
DNAAF1	primary ciliary dyskinesia
