Approved Symbol	Gene family description
A1BG-AS1	"ncRNAs / Long non-coding RNAs"
A2ML1-AS1	"ncRNAs / Long non-coding RNAs"
A2ML1-AS2	"ncRNAs / Long non-coding RNAs"
AACS	"Acyl-CoA synthetases"
AARS	"Aminoacyl tRNA synthetases / Class II"
AARS2	"Aminoacyl tRNA synthetases / Class II"
AASDH	"Acyl-CoA synthetases"
AATK-AS1	"ncRNAs / Long non-coding RNAs"
ABCA1	"ATP binding cassette transporters"
ABCA2	"ATP binding cassette transporters"
ABCA3	"ATP binding cassette transporters"
ABCA4	"ATP binding cassette transporters"
ABCA5	"ATP binding cassette transporters"
ABCA6	"ATP binding cassette transporters"
ABCA7	"ATP binding cassette transporters"
ABCA8	"ATP binding cassette transporters"
ABCA9	"ATP binding cassette transporters"
ABCA9-AS1	"ncRNAs / Long non-coding RNAs"
ABCA10	"ATP binding cassette transporters"
ABCA11P	"ATP binding cassette transporters"
ABCA12	"ATP binding cassette transporters"
ABCA13	"ATP binding cassette transporters"
ABCB1	"ATP binding cassette transporters", "CD molecules"
ABCB4	"ATP binding cassette transporters"
ABCB5	"ATP binding cassette transporters"
ABCB6	"ATP binding cassette transporters"
ABCB7	"ATP binding cassette transporters"
ABCB8	"ATP binding cassette transporters"
ABCB9	"ATP binding cassette transporters"
ABCB10	"ATP binding cassette transporters"
ABCB10P1	"ATP binding cassette transporters"
ABCB10P2	"ATP binding cassette transporters"
ABCB10P3	"ATP binding cassette transporters"
ABCB10P4	"ATP binding cassette transporters"
ABCB11	"ATP binding cassette transporters"
ABCC1	"ATP binding cassette transporters"
ABCC2	"ATP binding cassette transporters"
ABCC3	"ATP binding cassette transporters"
ABCC4	"ATP binding cassette transporters"
ABCC5	"ATP binding cassette transporters"
ABCC5-AS1	"ncRNAs / Long non-coding RNAs"
ABCC6	"ATP binding cassette transporters"
ABCC8	"ATP binding cassette transporters"
ABCC9	"ATP binding cassette transporters"
ABCC10	"ATP binding cassette transporters"
ABCC11	"ATP binding cassette transporters"
ABCC12	"ATP binding cassette transporters"
ABCC13	"ATP binding cassette transporters"
ABCD1	"ATP binding cassette transporters"
ABCD1P1	"ATP binding cassette transporters"
ABCD1P2	"ATP binding cassette transporters"
ABCD1P3	"ATP binding cassette transporters"
ABCD1P4	"ATP binding cassette transporters"
ABCD2	"ATP binding cassette transporters"
ABCD3	"ATP binding cassette transporters"
ABCD4	"ATP binding cassette transporters"
ABCE1	"ATP binding cassette transporters"
ABCF1	"ATP binding cassette transporters"
ABCF2	"ATP binding cassette transporters"
ABCF3	"ATP binding cassette transporters"
ABCG1	"ATP binding cassette transporters"
ABCG2	"ATP binding cassette transporters", "CD molecules"
ABCG4	"ATP binding cassette transporters"
ABCG5	"ATP binding cassette transporters"
ABCG8	"ATP binding cassette transporters"
ABHD1	"Abhydrolase domain containing"
ABHD2	"Abhydrolase domain containing"
ABHD3	"Abhydrolase domain containing"
ABHD4	"Abhydrolase domain containing"
ABHD5	"Abhydrolase domain containing"
ABHD6	"Abhydrolase domain containing"
ABHD8	"Abhydrolase domain containing"
ABHD10	"Abhydrolase domain containing"
ABHD11	"Abhydrolase domain containing"
ABHD11-AS1	"ncRNAs / Long non-coding RNAs"
ABHD11-AS2	"ncRNAs / Long non-coding RNAs"
ABHD12	"Abhydrolase domain containing"
ABHD12B	"Abhydrolase domain containing"
ABHD13	"Abhydrolase domain containing"
ABHD14A	"Abhydrolase domain containing"
ABHD14B	"Abhydrolase domain containing"
ABHD15	"Abhydrolase domain containing"
ABO	"Blood group antigens"
ABR	"Rho guanine nucleotide exchange factors"
ACAN	"Proteoglycans / Extracellular Matrix  : Aggrecans/versicans"
ACAP1	"ADP-ribosylation factor GTPase activating proteins"
ACAP2	"ADP-ribosylation factor GTPase activating proteins"
ACAP2-IT1	"ncRNAs / Long non-coding RNAs"
ACAP3	"ADP-ribosylation factor GTPase activating proteins"
ACBD3	"A-kinase anchor proteins"
ACE	"CD molecules"
ACHE	"Blood group antigens"
ACOT1	"Acyl CoA thioesterases"
ACOT2	"Acyl CoA thioesterases"
ACOT4	"Acyl CoA thioesterases"
ACOT6	"Acyl CoA thioesterases"
ACOT7	"Acyl CoA thioesterases"
ACOT8	"Acyl CoA thioesterases"
ACOT9	"Acyl CoA thioesterases"
ACOT11	"Acyl CoA thioesterases", "StAR-related lipid transfer (START) domain containing"
