Approved Symbol	Previous Symbols
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS
A2ML1	CPAMD9
A2MP1	A2MP
A3GALT2P	A3GALT2
AACSP1	AACSL
AAED1	C9orf21
AARS2	AARSL
ABCA1	ABC1, HDLDT1
ABCA2	ABC2
ABCA3	ABC3
ABCA4	STGD1, ABCR, RP19, STGD
ABCA11P	ABCA11
ABCA12	ICR2B
ABCB1	PGY1, MDR1, CLCS
ABCB4	PGY3, MDR3
ABCB7	ABC7
ABCB10P1	ABCB10P
ABCB11	BSEP, PFIC2
ABCC1	MRP, MRP1
ABCC2	CMOAT
ABCC6	ARA, PXE
ABCC8	SUR, HRINS
ABCD1	ALD
ABCD2	ALDL1
ABCD3	PXMP1
ABCD4	PXMP1L
ABCE1	RNASEL1, RNASELI, RNS4I
ABCF1	ABC50
ABHD11	WBSCR21
ABHD11-AS1	WBSCR26
ABHD12	C20orf22
ABHD12B	C14orf29
ABHD13	C13orf6
ABHD16A	BAT5
ABHD16B	C20orf135
ABI1	SSH3BP1
ABI1P1	SSH3BP1P, ABI1P
ABL1	ABL
ABL2	ABLL
ABLIM1	LIMAB1, ABLIM
ABRACL	C6orf115
ACACA	ACAC, ACC
ACAN	MSK16, CSPG1, AGC1
ACAP1	CENTB1
ACAP2	CENTB2
ACAP3	CENTB5
ACAT1	ACAT
ACBD3	GOLPH1, GOCAP1
ACE	DCP1
ACER1	ASAH3
ACER2	ASAH3L
ACER3	PHCA
ACHE	YT
ACHM1	RMCH
ACIN1	ACINUS
ACO1	IREB1
ACOT6	C14orf42
ACOT8	PTE1
ACOT11	THEA
ACOT13	THEM2
ACSL1	FACL2
ACSL3	FACL3
ACSL4	FACL4, MRX63, MRX68
ACSL5	FACL5
ACSL6	FACL6
ACSM1	BUCS1
ACSM2A	ACSM2
ACSM2B	ACSM2
ACSM3	SAH
ACSS1	ACAS2L
ACSS2	ACAS2
ACTA1	ACTA
ACTBP12	ACTGP5
ACTC1	ACTC
ACTG1	ACTG, DFNA20, DFNA26
ACTG1P1	ACTGP1, ACT1GP1
ACTG1P2	ACTL2, ACTGP2
ACTG1P3	ACTGP3
ACTG1P4	ACTGP4
ACTG1P6	ACTGP6
ACTG1P7	ACTGP7
ACTG1P8	ACTGP8
ACTG1P9	ACTGP9
ACTG1P10	ACTL1, ACTGP10
ACTG2	ACTL3, ACTA3
ACTL6B	ACTL6
ACTL10	C20orf134
ACTN1-AS1	C14orf84
ACTN4	FSGS1
ACTR1B	CTRN2
ACVR1	ACVRLK2
ACVR1B	ACVRLK4
ACVR2A	ACVR2
ACVRL1	ACVRLK1, ORW2
ADAM2	FTNB
ADAM3A	CYRN1
ADAM3B	CYRN2
ADAM6	C14orf96
ADAM9	CORD9
ADAM11	MDC
ADAM17	TACE
ADAM21P1	ADAM21P
ADAM33	C20orf153
ADAMTS13	C9orf8
ADAMTS18	ADAMTS21
ADAMTSL1	C9orf94
ADAMTSL4	TSRC1
ADAMTSL5	THSD6
ADAP1	CENTA1
ADAP2	CENTA2
ADAR	IFI4, G1P1
ADARB2-AS1	C10orf109, NCRNA00168
ADAT2	DEADC1
ADCK3	CABC1
ADCY8	ADCY3
ADD3	ADDL
ADGB	C6orf103
ADH1A	ADH1
ADH1B	ADH2
ADH1C	ADH3
ADH5	FDH
ADH5P4	ADH5B
ADIPOQ	ACDC
ADNP2	ZNF508
ADO	C10orf22
ADORA2A	ADORA2
ADORA2BP1	ADORA2BP
ADRA1A	ADRA1C
ADRA2A	ADRA2, ADRA2R
ADRA2B	ADRA2L1, ADRA2RL1
ADRA2C	ADRA2L2, ADRA2RL2
ADRB1	ADRB1R
ADRB2	ADRB2R
ADTRP	C6orf105
AEN	ISG20L1
AFAP1-AS1	AFAP1AS, AFAP1-AS
AFAP1L2	KIAA1914
AFF1	PBM1, MLLT2
AFF2	FMR2
AFF3	LAF4
AFG3L1P	AFG3, AFG3L1
AFG3L2	SCA28
AFG3L2P1	AFG3L2P
AFP	HPAFP
AGAP1	CENTG2
AGAP2	CENTG1
AGAP3	CENTG3
AGAP4	CTGLF1
AGAP5	CTGLF2
AGAP6	CTGLF3
AGAP7	CTGLF4
AGAP8	CTGLF5
AGAP9	CTGLF6
AGAP10	CTGLF7
AGFG1	HRB
AGFG2	HRBL
AGK	MULK
AGMO	TMEM195
AGPAT2	BSCL
AGPAT4-IT1	C6orf59, NCRNA00241
AGT	SERPINA8
AGTR1	AGTR1B
AGXT	SPAT
AHCTF1P1	AHCTF1P
AHNAK2	C14orf78
AHRR	AHH, AHHR
AHSA1	C14orf3
AHSP	ERAF
AIDA	C1orf80
AIF1L	C9orf58
AIFM1	PDCD8
AIFM2	AMID
AIMP1	SCYE1
AIMP1P1	SCYE1P
AIPL1	LCA4
AIRE	APECED
AJUBA	JUB
AK3	AK6, AK3L1
AK4	AK3, AK3L1
AK4P1	AK3P1
AK4P3	AK3L2
AK8	C9orf98
AKAP1	PRKA1
AKAP2	PRKA2
AKAP13	LBC
AKAP16BP	AKAP16B
AKAP17A	CXYorf3, SFRS17A
AKD1	C6orf224, AKD2, C6orf199
AKIP1	C11orf17
AKIRIN1	C1orf108
AKIRIN2	C6orf166
AKIRIN2-AS1	NCRNA00120
AKNAD1	C1orf62
AKR1B1	ALDR1
AKR1B1P1	ALDRL1
AKR1B1P2	ALDRP
AKR1B1P3	ALDRL3
AKR1B1P4	ALDRL4
AKR1B1P5	AKR1B1P
AKR1B10	AKR1B11
AKR1C1	DDH1
AKR1C2	DDH2
AKR1C3	HSD17B5
