ensg	id	name
ENSG00000000419	608799	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie 
ENSG00000000971	126700	BASAL LAMINAR DRUSEN 
ENSG00000000971	235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1 
ENSG00000000971	609814	COMPLEMENT FACTOR H DEFICIENCY 
ENSG00000000971	610698	MACULAR DEGENERATION, AGE-RELATED, 4 
ENSG00000001084	230450	GAMMA-GLUTAMYLCYSTEINE SYNTHETASE DEFICIENCY, HEMOLYTIC ANEMIA DUE 
ENSG00000001084	608446	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
ENSG00000001626	167800	PANCREATITIS, HEREDITARY 
ENSG00000001626	211400	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1 
ENSG00000001626	219700	CYSTIC FIBROSIS 
ENSG00000001626	277180	VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF 
ENSG00000001631	116860	CEREBRAL CAVERNOUS MALFORMATIONS 
ENSG00000002822	176807	PROSTATE CANCER 
ENSG00000003393	205100	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE 
ENSG00000003393	606353	PRIMARY LATERAL SCLEROSIS, JUVENILE 
ENSG00000003393	607225	SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING 
ENSG00000003400	137215	GASTRIC CANCER, HEREDITARY DIFFUSE 
ENSG00000003400	603909	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IIA 
ENSG00000003400	605027	LYMPHOMA, NON-HODGKIN, FAMILIAL 
ENSG00000003400	613659	GASTRIC CANCER 
ENSG00000004455	267500	RETICULAR DYSGENESIS 
ENSG00000004848	300004	CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA 
ENSG00000004848	300215	LISSENCEPHALY, X-LINKED, 2 
ENSG00000004848	300419	MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED 
ENSG00000004848	308350	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1 
ENSG00000004848	309510	PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME 
ENSG00000004864	603471	CITRULLINEMIA, TYPE II, ADULT-ONSET 
ENSG00000004864	605814	CITRULLINEMIA, TYPE II, NEONATAL-ONSET 
ENSG00000004939	110500	BLOOD GROUP--DIEGO SYSTEM 
ENSG00000004939	112010	BLOOD GROUP--WALDNER TYPE 
ENSG00000004939	112050	BLOOD GROUP--WRIGHT ANTIGEN 
ENSG00000004939	130600	ELLIPTOCYTOSIS 2 
ENSG00000004939	179800	RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL DOMINANT 
ENSG00000004939	601550	BLOOD GROUP--SWANN SYSTEM 
ENSG00000004939	601551	BLOOD GROUP--FROESE 
ENSG00000004939	602722	RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE 
ENSG00000004939	611162	MALARIA, SUSCEPTIBILITY TO 
ENSG00000004939	611590	RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA 
ENSG00000004939	612653	SPHEROCYTOSIS, TYPE 4 
ENSG00000004948	166710	OSTEOPOROSIS 
ENSG00000004961	309801	MICROPHTHALMIA, SYNDROMIC 7 
ENSG00000005073	605432	RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 
ENSG00000005339	180849	RUBINSTEIN-TAYBI SYNDROME 1 
ENSG00000005381	104300	ALZHEIMER DISEASE 
ENSG00000005381	254600	MYELOPEROXIDASE DEFICIENCY 
ENSG00000005421	612633	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 5 
ENSG00000005471	147480	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 
ENSG00000005471	600803	GALLBLADDER DISEASE 1 
ENSG00000005471	602347	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3 
ENSG00000005893	300257	DANON DISEASE 
ENSG00000005961	273800	GLANZMANN THROMBASTHENIA 
ENSG00000006016	272430	COLD-INDUCED SWEATING SYNDROME 1 
ENSG00000006016	601378	CRISPONI SYNDROME 
ENSG00000006071	125853	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
ENSG00000006071	240800	HYPOGLYCEMIA, LEUCINE-INDUCED 
ENSG00000006071	256450	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1 
