gene	disease
A2M	ALZHEIMER DISEASE 
A4GALT	BLOOD GROUP, P SYSTEM 
AAAS	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME 
AANAT	DELAYED SLEEP PHASE SYNDROME, SUSCEPTIBILITY TO 
AARS	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2N 
AARS2	CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE 
AARS2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8 
AASS	HYPERLYSINEMIA 
AASS	SACCHAROPINURIA
ABAT	GABA-TRANSAMINASE DEFICIENCY 
ABCA1	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT 
ABCA1	HYPOALPHALIPOPROTEINEMIA, PRIMARY 
ABCA1	TANGIER DISEASE 
ABCA12	ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1 
ABCA12	ICHTHYOSIS CONGENITA, HARLEQUIN FETUS TYPE 
ABCA12	ICHTHYOSIS, LAMELLAR, 2 
ABCA3	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 3 
ABCA4	CONE-ROD DYSTROPHY 3 
ABCA4	MACULAR DEGENERATION, AGE-RELATED, 2 
ABCA4	RETINITIS PIGMENTOSA 19 
ABCA4	STARGARDT DISEASE 1 
ABCB1	COLCHICINE RESISTANCE 
ABCB1	INFLAMMATORY BOWEL DISEASE 13 
ABCB11	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2 
ABCB11	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 2 
ABCB4	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 
ABCB4	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3 
ABCB4	GALLBLADDER DISEASE 1 
ABCB7	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA 
ABCC11	APOCRINE GLAND SECRETION, VARIATION IN 
ABCC2	DUBIN-JOHNSON SYNDROME 
ABCC6	PSEUDOXANTHOMA ELASTICUM 
ABCC6	PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE 
ABCC8	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
ABCC8	DIABETES MELLITUS, PERMANENT NEONATAL 
ABCC8	DIABETES MELLITUS, TRANSIENT NEONATAL, 2 
ABCC8	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1 
ABCC8	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 3 
ABCC8	HYPOGLYCEMIA, LEUCINE-INDUCED 
ABCC9	ATRIAL FIBRILLATION, FAMILIAL, 12 
ABCC9	CARDIOMYOPATHY, DILATED, 1O 
ABCD1	ADRENOLEUKODYSTROPHY 
ABCG5	SITOSTEROLEMIA 
ABCG8	GALLBLADDER DISEASE 4 
ABCG8	SITOSTEROLEMIA 
ABHD12	POLYNEUROPATHY, HEARING LOSS, ATAXIA, RETINITIS PIGMENTOSA, AND CATARACT 
ABHD5	CHANARIN-DORFMAN SYNDROME 
ABHD5	ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1 
ABL1	LEUKEMIA, CHRONIC MYELOID 
ABR	MEDULLOBLASTOMA 
AC021066.1	MONILETHRIX 
AC217778.1	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 6 
AC217779.2	FRONTOTEMPORAL DEMENTIA 
AC217779.2	PARKINSON DISEASE, LATE-ONSET 
AC217779.2	PARKINSON-DEMENTIA SYNDROME 
AC217779.2	PICK DISEASE OF BRAIN 
AC217779.2	SUPRANUCLEAR PALSY, PROGRESSIVE, 1 
ACAA1	D-BIFUNCTIONAL PROTEIN DEFICIENCY 
ACACA	ACETYL-CoACARBOXYLASEDEFICIENCY
ACAD8	ISOBUTYRYL-CoA DEHYDROGENASE DEFICIENCY 
ACAD9	ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9, DEFICIENCY OF 
ACAD9	MITOCHONDRIAL COMPLEX I DEFICIENCY 
ACADL	ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF 
ACADM	ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF 
ACADS	ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF 
ACADSB	2-@METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY 
ACADVL	ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF 
ACAN	OSTEOCHONDRITIS DISSECANS, SHORT STATURE, AND EARLY-ONSET OSTEOARTHRITIS 
ACAN	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, AGGRECAN TYPE 
ACAN	SPONDYLOEPIPHYSEAL DYSPLASIA, KIMBERLEY TYPE 
