gene	disease
AAAS	Triple A syndrome
AARS	Autosomal dominant Charcot-Marie-Tooth disease type 2N
AARS2	Fatal infantile cytochrome C oxidase deficiency
AASS	Hyperlysinemia
AASS	Saccharopinuria
ABAT	Gamma aminobutyric acid transaminase deficiency
ABCA1	Apolipoprotein A-I deficiency
ABCA1	Tangier disease
ABCA12	Congenital nonbullous ichthyosiform erythroderma
ABCA12	Harlequin ichthyosis
ABCA12	Lamellar ichthyosis
ABCA3	Congenital pulmonary alveolar proteinosis
ABCA4	Cone rod dystrophy
ABCA4	Retinitis pigmentosa
ABCA4	Stargardt disease
ABCB11	Progressive familial intrahepatic cholestasis type 2
ABCB4	Intrahepatic cholestasis of pregnancy
ABCB4	Low phospholipid associated cholelithiasis
ABCB4	Progressive familial intrahepatic cholestasis type 3
ABCB7	X-linked sideroblastic anemia - ataxia
ABCC2	Dubin-Johnson syndrome
ABCC6	Pseudoxanthoma elasticum
ABCC8	Autosomal recessive hyperinsulinism due to SUR1 deficiency
ABCC8	Permanent neonatal diabetes mellitus
ABCC8	Transient neonatal diabetes mellitus
ABCC9	Familial atrial fibrillation
ABCC9	Familial isolated dilated cardiomyopathy
ABCD1	Adrenomyeloneuropathy
ABCD1	X-linked cerebral adrenoleukodystrophy
ABCG5	Sitosterolemia
ABCG8	Sitosterolemia
ABHD12	Peripheral neuropathy, Fiskerstrand type
ABHD5	Congenital nonbullous ichthyosiform erythroderma
ABHD5	Dorfman-Chanarin disease
ABL1	Chronic myeloid leukemia
ABL1	Precursor B-cell acute lymphoblastic leukemia
ABL1	Precursor T-cell acute lymphoblastic leukemia
AC021066.1	Monilethrix
ACAA1	Pseudo-Zellweger syndrome
ACAD8	Isobutyryl-CoA dehydrogenase deficiency
ACAD9	Acyl-CoA dehydrogenase 9 deficiency
ACAD9	Isolated NADH-CoQ reductase deficiency
ACADL	Long chain Acyl-CoA dehydrogenase deficiency
ACADM	Medium chain acyl-CoA dehydrogenase deficiency
ACADS	Deficiency of short chain acyl-CoA dehydrogenase
ACADSB	Developmental delay due to 2-methylbutyryl-CoA dehydrogenase deficiency
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency
ACAN	Familial osteochondritis dissecans
ACAN	Spondyloepimetaphyseal dysplasia, aggrecan type
ACAN	Spondyloepiphyseal dysplasia, Kimberley type
ACAT1	Ketoacidosis due to betaketothiolase deficiency
ACE	Renal tubular dysgenesis of genetic origin
ACOX1	Peroxisomal acyl-CoA oxidase deficiency
ACP2	Acid phosphatase deficiency
ACP5	Spondyloenchondrodysplasia
ACSL4	Alport syndrome - intellectual deficit - midface hypoplasia - elliptocytosis
ACSL4	X-linked nonsyndromic intellectual deficit
ACTA1	Congenital fiber-type disproportion myopathy
ACTA1	Intermediate nemaline myopathy
ACTA1	Mild nemaline myopathy
ACTA1	Severe congenital nemaline myopathy
ACTA1	Typical nemaline myopathy
