Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Gene family description	Ensembl ID (mapped data supplied by Ensembl)
A1BG			NM_130786		ENSG00000121410
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	NR_015380	"ncRNAs / Long non-coding RNAs"	
A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	NM_014576		ENSG00000148584
A1S9T~withdrawn					
A2LD1		GGACT	NM_033110		ENSG00000134864
A2M		FWP007, S863-7, CPAMD5	NM_000014		ENSG00000175899
A2ML1	CPAMD9	FLJ25179	NM_144670		ENSG00000166535
A2ML1-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000256661
A2ML1-AS2				"ncRNAs / Long non-coding RNAs"	ENSG00000256904
A2MP1	A2MP		NG_001067		ENSG00000256069
A2MRAP~withdrawn					
A2MR~withdrawn					
A3GALT2P	A3GALT2	IGBS3S	NG_012483		ENSG00000184389
A4GALT		A14GALT, Gb3S, P(k)	NM_017436		ENSG00000128274
A4GNT		alpha4GnT	NM_016161		ENSG00000118017
A12M1~withdrawn					
A12M2~withdrawn					
A12M3~withdrawn					
A12M4~withdrawn					
AAAS					ENSG00000094914
AABT~withdrawn					
AAC1~withdrawn					
AAC2~withdrawn					
AACP		NATP			ENSG00000253937
AACS		FLJ12389, SUR-5, ACSF1	NM_023928	"Acyl-CoA synthetases"	ENSG00000081760
AACSP1	AACSL		NR_024035		ENSG00000250420
AACT~withdrawn					
AADAC		DAC, CES5A1	NM_001086		ENSG00000114771
AADACL2		MGC72001	NM_207365		ENSG00000197953
AADACL3		OTTHUMG00000001887	XM_928294		ENSG00000188984
AADACL4		OTTHUMG00000001889	NM_001013630		ENSG00000204518
AADAT		KATII, KAT2	NM_016228		ENSG00000109576
AAED1	C9orf21		NM_153698		ENSG00000158122
AAGAB		FLJ11506, p34	NM_024666		ENSG00000103591
AAK1		KIAA1048, DKFZp686K16132	NM_014911		ENSG00000115977
AAMP			NM_001087		ENSG00000127837
AANAT		SNAT	NM_001088		ENSG00000129673
AARS			NM_001605	"Aminoacyl tRNA synthetases / Class II"	ENSG00000090861
AARS2	AARSL	KIAA1270, bA444E17.1	NM_020745	"Aminoacyl tRNA synthetases / Class II"	ENSG00000124608
AARSD1		MGC2744	NM_025267		ENSG00000108825
AASDH		NRPS998, LYS2, ACSF4	NM_181806	"Acyl-CoA synthetases"	ENSG00000157426
AASDHPPT		LYS5, CGI-80, AASD-PPT	NM_015423		ENSG00000149313
AASS		LORSDH, LKRSDH	NM_005763		ENSG00000008311
AATF		DED, CHE-1, CHE1	NM_012138		ENSG00000108270
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1	NM_004920		ENSG00000181409
AATK-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000225180
AAVS1		AAV			
AA~withdrawn					
ABAT		GABAT	NM_020686		ENSG00000183044
ABC1~withdrawn					
ABC2~withdrawn					
ABC3~withdrawn					
ABC7~withdrawn					
ABC50~withdrawn					
ABCA1	ABC1, HDLDT1	TGD	NM_005502	"ATP binding cassette transporters"	ENSG00000165029
ABCA2	ABC2		NM_001606	"ATP binding cassette transporters"	ENSG00000107331
ABCA3	ABC3	ABC-C, EST111653, LBM180	NM_001089	"ATP binding cassette transporters"	ENSG00000167972
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2	NM_000350	"ATP binding cassette transporters"	ENSG00000198691
ABCA5		EST90625	NM_018672	"ATP binding cassette transporters"	ENSG00000154265
ABCA6		EST155051	NM_080284	"ATP binding cassette transporters"	ENSG00000154262
ABCA7		ABCX	NM_019112	"ATP binding cassette transporters"	ENSG00000064687
ABCA8		KIAA0822	NM_007168	"ATP binding cassette transporters"	ENSG00000141338
ABCA9		EST640918	NM_172386	"ATP binding cassette transporters"	ENSG00000154258
ABCA9-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000231749
ABCA10		EST698739	NM_080282	"ATP binding cassette transporters"	ENSG00000154263
ABCA11P	ABCA11	EST1133530, FLJ14297	NR_002451.2	"ATP binding cassette transporters"	ENSG00000251595
ABCA12	ICR2B	DKFZP434G232, LI2	NM_173076	"ATP binding cassette transporters"	ENSG00000144452
ABCA13		FLJ33876, FLJ33951	NM_152701	"ATP binding cassette transporters"	ENSG00000179869
ABCA17P			NR_003574		ENSG00000238098
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	NM_000927	"ATP binding cassette transporters", "CD molecules"	ENSG00000085563
ABCB2~withdrawn					
ABCB3~withdrawn					
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	NM_000443	"ATP binding cassette transporters"	ENSG00000005471
