gene	variants	fams	biotype	description	omim_hit
ACAD11	1	LPA2	protein_coding	acyl-CoA dehydrogenase family, member 11 [Source:HGNC Symbol;Acc:30211]	
ADAMTSL1	1	LPA5	protein_coding	ADAMTS-like 1 [Source:HGNC Symbol;Acc:14632]	 ADAMTS-LIKE PROTEIN 1; ADAMTSL1
ADC	1	LPA1			 ANTIZYME INHIBITOR 2
AKR7L	1	LPA2	protein_coding	aldo-keto reductase family 7-like [Source:HGNC Symbol;Acc:24056]	 ALDO-KETO REDUCTASE FAMILY 7, MEMBER A4
ALDH16A1	1	LPA4	protein_coding	aldehyde dehydrogenase 16 family, member A1 [Source:HGNC Symbol;Acc:28114]	 ALDEHYDE DEHYDROGENASE 16 FAMILY, MEMBER A1; ALDH16A1
ALPK3	1	LPA3			
ANO1	1	LPA2	protein_coding	anoctamin 1, calcium activated chloride channel [Source:HGNC Symbol;Acc:21625]	 ANOCTAMIN 1, CALCIUM-ACTIVATED CHLORIDE CHANNEL; ANO1
AQP7	1	LPA4	protein_coding	aquaporin 7 [Source:HGNC Symbol;Acc:640]	 AQUAPORIN 7; AQP7
ASAP3;ASAP3	1	LPA5			
ASCC2	1	LPA2	protein_coding	activating signal cointegrator 1 complex subunit 2 [Source:HGNC Symbol;Acc:24103]	
ASPG	1	LPA4	protein_coding	asparaginase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20123]	
AZI1	1	LPA5			 5-@AZACYTIDINE-INDUCED GENE 1, MOUSE, HOMOLOG OF; AZI1
B3GALNT1	1	LPA4			 BETA-1,3-N-ACETYLGALACTOSAMINYLTRANSFERASE 1; B3GALNT1
BBS7	1	LPA4			 BBS7 GENE; BBS7
BRCA1	1	LPA1	protein_coding	breast cancer 1, early onset [Source:HGNC Symbol;Acc:1100]	 BREAST CANCER 1 GENE; BRCA1
BTNL3	1	LPA4	protein_coding	butyrophilin-like 3 [Source:HGNC Symbol;Acc:1143]	 BUTYROPHILIN-LIKE PROTEIN 3; BTNL3
C13orf39	1	LPA2			
C15orf39	1	LPA5			
C16orf46	1	LPA2			
C18orf16	1	LPA5			
C22orf41	1	LPA5	protein_coding	chromosome 22 open reading frame 41 [Source:HGNC Symbol;Acc:35245]	
C8A	1	LPA4	LRG_gene	complement component 8, alpha polypeptide [Source:HGNC Symbol;Acc:1352]	c(" COMPLEMENT COMPONENT 8, ALPHA SUBUNIT; C8A", " COMPLEMENT COMPONENT 8, ALPHA SUBUNIT; C8A")
C9orf84	1	LPA3	protein_coding	chromosome 9 open reading frame 84 [Source:HGNC Symbol;Acc:26535]	
