gene	variants	fams	biotype	description	omim_hit
A1BG-AS1	1	grupo_afectos			
ACAN	1	grupo_afectos			 AGGRECAN; ACAN
ACTL9	1	grupo_afectos			
ADARB1	1	grupo_afectos			 ADENOSINE DEAMINASE, RNA-SPECIFIC, B1; ADARB1
AGAP11	1	grupo_afectos			
AHNAK2	1	grupo_afectos			 AHNAK NUCLEOPROTEIN 2
AIFM3	2	grupo_afectos	protein_coding	apoptosis-inducing factor, mitochondrion-associated, 3 [Source:HGNC Symbol;Acc:26398]	
ANKDD1A	1	grupo_afectos			
ANKRD30BL	1	grupo_afectos			
APOBEC3H	1	grupo_afectos	protein_coding	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H [Source:HGNC Symbol;Acc:24100]	 APOLIPOPROTEIN B mRNA EDITING ENZYME, CATALYTIC POLYPEPTIDE-LIKE 3H;
APOL3	1	grupo_afectos	protein_coding	apolipoprotein L, 3 [Source:HGNC Symbol;Acc:14868]	 APOLIPOPROTEIN L-III; APOL3
APTX	1	grupo_afectos			 APRATAXIN; APTX
ARHGEF11	1	grupo_afectos			 RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 11; ARHGEF11
ARL11	1	grupo_afectos			 ADP-RIBOSYLATION FACTOR-LIKE 11; ARL11
ASAP2	1	grupo_afectos			 DEVELOPMENT- AND DIFFERENTIATION-ENHANCING FACTOR 2; DDEF2
ATF5	1	grupo_afectos	protein_coding	activating transcription factor 5 [Source:HGNC Symbol;Acc:790]	 ACTIVATING TRANSCRIPTION FACTOR 5; ATF5
ATP5S	1	grupo_afectos			
ATP6V1B1	1	grupo_afectos			 ATPase, H+ TRANSPORTING, LYSOSOMAL, 56/58-KD, V1 SUBUNIT B, ISOFORM
AZI1	1	grupo_afectos			 5-@AZACYTIDINE-INDUCED GENE 1, MOUSE, HOMOLOG OF; AZI1
B3GNT4	1	grupo_afectos	protein_coding	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:15683]	 BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE 4; B3GNT4
C10orf113	1	grupo_afectos			
C15orf40	1	grupo_afectos			
C17orf101	2	grupo_afectos			
C18orf16	1	grupo_afectos			
C19orf46	1	grupo_afectos	protein_coding	chromosome 19 open reading frame 46 [Source:HGNC Symbol;Acc:26703]	
C1QTNF9	1	grupo_afectos			
C4orf42	1	grupo_afectos			
C5orf45	1	grupo_afectos			
C8orf44	1	grupo_afectos			
C9orf50	1	grupo_afectos			
